"Player (15)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Moody                   Moses Moody","SG","26","RK-EXT","$20,944,445","11.44%","'-","","","Bird",""
"Hield                   Buddy Hield","SG","36","S&T","$19,185,364","10.48%","'-","","","Bird",""
"West                   David West","PF","48","","$2,717,496","1.48%","'-","","","Early Bird",""
"Lamb                   Anthony Lamb","SF","31","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Jerebko                   Jonas Jerebko","PF","41","","$2,717,496","1.48%","'-","","","Non-Bird",""
"Iguodala                   Andre Iguodala","SF","45","FA","$2,717,496","1.48%","'-","","","Early Bird",""
"Green                   JaMychal Green","PF","38","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Garuba                   Usman Garuba","PF","26","ROS","$2,717,496","1.48%","'-","","","Non-Bird",""
"Bogut                   Andrew Bogut","C","44","","$2,717,496","1.48%","'-","","","Non-Bird",""
"Bjelica                   Nemanja Bjelica","PF","40","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Barnes                   Matt Barnes","SF","48","","$2,717,496","1.48%","'-","","","Non-Bird",""
"Knox                   Kevin Knox","SF","29","ROS","$2,708,854","1.48%","'-","","","Non-Bird",""
"Robinson                   Jerome Robinson","SG","31","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Armstrong                   Taran Armstrong","G","27","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Mannion                   Nico Mannion","PG","27","2W","$2,424,264","1.32%","$2,424,264","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $16,569,982"," "," "," "," "," "," "

