"Player (8)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Doncic                   Luka Doncic","PG","30","VET-EXT","$67,258,100","35.00%","'-","","","Bird",""
"Waiters                   Dion Waiters","SG","38","ROS","$2,853,371","1.48%","'-","","","Non-Bird",""
"Morris                   Markieff Morris","PF","40","","$2,853,371","1.48%","'-","","","Bird",""
"Howard                   Dwight Howard","C","44","FA","$2,853,371","1.48%","'-","","","Non-Bird",""
"Ellington                   Wayne Ellington","SG","42","FA","$2,853,371","1.48%","'-","","","Non-Bird",""
"Dudley                   Jared Dudley","SF","44","FA","$2,853,371","1.48%","'-","","","Early Bird",""
"Bradley                   Avery Bradley","PG","39","FA","$2,853,371","1.48%","'-","","","Non-Bird",""
"Anthony                   Carmelo Anthony","PF","45","FA","$2,853,371","1.48%","'-","","","Non-Bird",""
"Incomplete Roster Charge"," "," "," ","                                   $18,980,160"," "," "," "," "," "," "

