" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Wright                     Brandan Wright","PF","30","$5,179,760","5.23%","$5,179,760","$5,179,760","$5,179,760","'-"
"2","Baldwin                     Wade Baldwin","PG","21","$1,874,400","1.89%","$1,874,400","$1,874,400","$1,874,400","'-"
"3","Johnson                     Brice Johnson","PF","23","$1,331,160","1.34%","$1,331,160","$1,331,160","$466,279","'-"
"4","Zagorac                     Rade Zagorac","SF","22","$950,000","0.96%","$950,000","$950,000","$950,000","'-"
"5","Franklin                     Jamaal Franklin","SG","26","$163,296","0.16%","$163,296","$163,296","$163,296","'-"
"6","Brooks                     MarShon Brooks","SG","29","$83,129","0.08%","$83,129","$83,129","$86,119","$86,119"
"7","Teague                     Marquis Teague","PG","24","$83,129","0.08%","$83,129","$83,129","$83,129","$83,129"
"8","Weber                     Briante Weber","PG","25","$83,129","0.08%","$83,129","$83,129","$83,129","$83,129"
"9","Teague                     Marquis Teague","PG","24","$74,816","0.08%","$74,816","$74,816","$74,816","'-"
"10","Rathan-Mayes                     Xavier Rathan-Mayes","SG","23","$46,080","0.05%","$46,080","$46,080","$46,080","$46,080"

