"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Holiday                   Jrue Holiday","PG","36","VET-EXT","$34,800,000","20.96%","$34,800,000","'-","'-","'-","$34,800,000"
"Grant                   Jerami Grant","PF","32","FA","$34,206,898","20.61%","$34,206,898","'-","'-","'-","$34,206,898"
"Sharpe                   Shaedon Sharpe","SG","23","RK-EXT","$20,089,287","12.10%","$20,089,287","'-","'-","'-","$20,089,287"
"Camara                   Toumani Camara","PF","26","VET-EXT","$18,080,358","10.89%","$18,080,358","'-","'-","'-","$18,080,358"
"Henderson                   Scoot Henderson","PG","22","RK-1ST","$13,585,523","8.18%","$13,585,523","'-","'-","'-","$13,585,523"
"Lillard                   Damian Lillard","PG","36","FA","$13,398,000","8.07%","$13,398,000","'-","'-","'-","$13,398,000"
"Avdija                   Deni Avdija","SF","26","RK-EXT","$13,125,000","7.91%","$13,125,000","'-","'-","'-","$13,125,000"
"Clingan                   Donovan Clingan","C","22","RK-1ST","$7,519,920","4.53%","$7,519,920","'-","'-","'-","'-"
"Murray                   Kris Murray","PF","26","RK-1ST","$5,315,004","3.20%","$5,315,004","'-","'-","'-","$5,315,004"
"Hansen                   Yang Hansen","C","21","RK-1ST","$4,643,520","2.80%","$4,643,520","'-","'-","'-","$4,643,520"
"Krejci                   Vit Krejci","PG","26","FA","$2,667,944","1.61%","$2,667,944","'-","'-","'-","'-"

