" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Rubio                     Ricky Rubio","PG","25","$12,700,000","18.14%","$12,950,000","$12,700,000","$12,700,000","$12,700,000","2019"
"2","Pekovic                     Nikola Pekovic","C","30","$12,100,000","17.29%","$12,100,000","$12,100,000","$12,100,000","'-","2018"
"3","Garnett                     Kevin Garnett","PF","39","$8,500,000","12.14%","$8,500,000","$8,500,000","$8,500,000","'-","2017"
"4","Wiggins                     Andrew Wiggins","SF","20","$5,758,680","8.23%","$5,758,680","$5,758,680","$5,758,680","$5,758,680","2027"
"5","Towns                     Karl-Anthony Towns","C","20","$5,703,600","8.15%","$5,703,600","$5,703,600","$5,703,600","$5,703,600","2028"
"6","Bjelica                     Nemanja Bjelica","PF","27","$3,950,001","5.64%","$3,950,001","$3,950,001","$3,950,001","$3,950,001","2018"
"7","LaVine                     Zach LaVine","SG","20","$2,148,360","3.07%","$2,148,360","$2,148,360","$2,148,360","$2,148,360","2027"
"8","Muhammad                     Shabazz Muhammad","SF","23","$2,056,920","2.94%","$2,056,920","$2,056,920","$2,056,920","'-","2017"
"9","Payne                     Adreian Payne","PF","24","$1,938,840","2.77%","$1,938,840","$1,938,840","$1,938,840","'-","2017"
"10","Dieng                     Gorgui Dieng","C","26","$1,474,440","2.11%","$1,474,440","$1,474,440","$1,474,440","$1,474,440",""
"11","Jones                     Tyus Jones","PG","19","$1,282,080","1.83%","$1,282,080","$1,282,080","$1,282,080","$1,282,080","2026"
"12","Rudez                     Damjan Rudez","SF","29","$1,149,500","1.64%","$1,149,500","$1,149,500","$1,149,500","'-","2017"
"13","Prince                     Tayshaun Prince","SF","35","$947,276","1.35%","$947,276","$947,276","$1,499,187","'-","2016"
"14","Smith                     Greg Smith","C","25","$131,407","0.19%","$131,407","$131,407","$131,407","'-","2017"

