"Player (2)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Baldwin Jr.                   Patrick Baldwin Jr.","SF","","","$131,970","0.09%","","","","",""
"Telfort                   Jahmyl Telfort","SF","","","'-","'-","","","","",""

