" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Bertans                     Davis Bertans","PF","32","$5,250,000","3.73%","$5,250,000","$5,250,000","$5,250,000","'-"
"2","Graham                     Devonte' Graham","PG","29","$2,850,000","2.03%","$2,850,000","$2,850,000","$2,850,000","'-"
"3","Brown Jr.                     Charlie Brown Jr.","SG","26","$2,237,692","1.59%","$2,237,692","$2,237,692","$2,237,692","'-"
"4","Washington Jr.                     Duane Washington Jr.","PG","24","$2,162,607","1.54%","$2,162,607","$2,162,607","$2,162,607","'-"
"5","Jackson                     Reggie Jackson","PG","34","$1,946,229","1.38%","$1,946,229","$1,946,229","$1,946,229","'-"
"6","Payton                     Elfrid Payton","PG","30","$119,972","0.09%","$119,972","$119,972","$171,756","$171,756"
"7","Payton                     Elfrid Payton","PG","30","$119,972","0.09%","$119,972","$119,972","$171,756","$171,756"
"8","Flynn                     Malachi Flynn","PG","26","$119,972","0.09%","$119,972","$119,972","$128,603","$128,603"
"9","Garrett                     Marcus Garrett","PG","26","$107,027","0.08%","$107,027","$119,972","$107,027","$107,027"
"10","Sims                     Jaylen Sims","G","26","$66,503","0.05%","$66,503","$119,972","$66,503","$66,503"
"11","Sims                     Jaylen Sims","G","26","$6,650","0.00%","$6,650","$11,997","$6,650","$6,650"

