" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Wall                     John Wall","PG","29","$38,199,000","35.00%","$38,199,000","$38,199,000","$38,199,000","$38,199,000","2023"
"2","Mahinmi                     Ian Mahinmi","C","33","$15,450,051","14.16%","$15,450,051","$15,450,051","$14,484,423","$15,450,051","2020"
"3","Bryant                     Thomas Bryant","C","22","$8,000,000","7.33%","$8,000,000","$8,000,000","$7,500,000","$8,000,000","2026"
"4","Smith                     Ishmael Smith","PG","31","$6,000,000","5.50%","$6,000,000","$6,000,000","$5,625,000","$6,000,000","2021"
"5","Hachimura                     Rui Hachimura","PF","21","$4,469,160","4.09%","$4,469,160","$4,469,160","$4,189,838","$4,469,160","2026"
"6","Robinson                     Jerome Robinson","SG","22","$3,567,720","3.27%","$3,567,720","$3,567,720","$1,187,981","$3,567,720","2021"
"7","Brown Jr.                     Troy Brown Jr.","SF","20","$3,219,480","2.95%","$3,219,480","$3,219,480","$3,018,263","$3,192,000","2022"
"8","Wagner                     Moritz Wagner","PF","22","$2,063,520","1.89%","$2,063,520","$2,063,520","$1,934,550","$2,063,520","2026"
"9","Napier                     Shabazz Napier","PG","28","$1,845,301","1.69%","$1,845,301","$1,845,301","$729,780","$1,845,301","2020"
"10","Bonga                     Isaac Bonga","PG","20","$1,416,852","1.30%","$1,416,852","$1,416,852","$1,328,299","$1,445,697","2021"
"11","Payton II                     Gary Payton II","PG","27","$1,052,909","0.96%","$1,052,909","$1,052,909","$1,090,781","$1,090,781","2026"
"12","Schofield                     Admiral Schofield","SF","22","$1,000,000","0.92%","$1,000,000","$1,000,000","$937,500","$1,000,000","2022"
"13","Pasecniks                     Anzejs Pasecniks","C","24","$482,144","0.44%","$482,144","$869,794","$482,144","$482,144","2022"
"14","Grant                     Jerian Grant","PG","27","'-","'-","'-","'-","$196,288","$196,288","2020"
"15","Uthoff                     Jarrod Uthoff","PF","26","'-","'-","'-","'-","$163,356","$163,356","2020"
"16","Mathews                     Garrison Mathews","SG","23","Two-Way","'-","'-","'-","'-","'-","2020"
"17","Williams                     Johnathan Williams","PF","24","Two-Way","'-","'-","'-","'-","'-","2020"

