" ","Player (3)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Markkanen                     Lauri Markkanen","PF","32","$79,246,650","41.24%","","","","","Bird"
"2","Bailey                     Ace Bailey","SF","23","$37,920,906","19.73%","","","","","Restricted Bird"
"3","Clayton Jr.                     Walter Clayton Jr.","PG","26","$20,256,936","10.54%","","","","","Restricted Bird"
"Incomplete Roster Charge","","","","                                                   $18,980,160"," "," "," "," "," "," "

