"Player (3)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Claxton                   Nicolas Claxton","C","29","FA","$32,386,380","17.70%","'-","","","Bird",""
"Mann                   Terance Mann","SG","32","VET-EXT","$24,000,000","13.11%","'-","","","Bird",""
"Milutinov                   Nikola Milutinov","C","34","","$3,839,400","2.10%","'-","","","1st Round Pick",""
"Incomplete Roster Charge"," "," "," ","                                   $10,544,534"," "," "," "," "," "," "

