" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Ingram                     Brandon Ingram","SF","27","$36,016,200","25.62%","$36,016,200","$36,016,200","$13,661,317","$36,016,200","2028"
"2","Quickley                     Immanuel Quickley","PG","25","$32,500,000","23.12%","$35,000,000","$32,500,000","$32,500,000","$32,500,000","2029"
"3","Barrett                     R.J. Barrett","SG","24","$25,794,643","18.35%","$28,928,572","$25,794,643","$25,794,643","$25,794,643","2027"
"4","Poeltl                     Jakob Poeltl","C","29","$19,500,000","13.87%","$20,000,000","$19,500,000","$19,500,000","$19,500,000","2030"
"5","Boucher                     Chris Boucher","PF","32","$10,810,000","7.69%","$10,810,000","$10,810,000","$10,810,000","$10,810,000","2026"
"6","Barnes                     Scottie Barnes","PF","23","$10,130,980","7.21%","$10,130,980","$10,130,980","$10,130,980","$10,130,980","2030"
"7","Dick                     Gradey Dick","SG","21","$4,763,760","3.39%","$4,763,760","$4,763,760","$4,763,760","$4,763,760","2027"
"8","Agbaji                     Ochai Agbaji","SF","24","$4,310,280","3.07%","$4,310,280","$4,310,280","$4,310,280","$4,310,280","2026"
"9","Walter                     Ja'Kobe Walter","SG","20","$3,465,000","2.46%","$3,465,000","$3,465,000","$3,465,000","$3,465,000","2028"
"10","Temple                     Garrett Temple","SG","38","$2,087,519","1.48%","$2,087,519","$2,087,519","$3,303,771","$3,303,771","2026"
"11","Mogbo                     Jonathan Mogbo","C","23","$1,862,265","1.32%","$1,862,265","$1,862,265","$1,862,265","$1,862,265","2027"
"12","Shead                     Jamal Shead","PG","22","$1,862,265","1.32%","$1,862,265","$1,862,265","$1,862,265","$1,862,265","2027"
"13","Battle                     Jamison Battle","SF","23","$1,000,000","0.71%","$1,000,000","$1,000,000","$1,000,000","$1,000,000","2027"
"14","Lawson                     A.J. Lawson","F","24","$100,000","0.07%","$100,000","$100,000","$100,000","$100,000","2026"
"15","Castleton                     Colin Castleton","PF","24","$100,000","0.07%","$100,000","$100,000","$100,000","$100,000","2026"
"16","Rhoden                     Jared Rhoden","SG","25","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Chomche                     Ulrich Chomche","PF","19","Two-Way","'-","'-","'-","'-","'-","2026"

