" ","Player (7)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Walker                     Jarace Walker","PF","24","$25,435,626","14.59%","","","","","Restricted Bird"
"2","Sheppard                     Ben Sheppard","SF","26","$15,095,007","8.66%","","","","","Restricted Bird"
"3","Potter                     Micah Potter","C","29","$2,588,091","1.48%","","","","","Early Bird"
"4","Johnson                     James Johnson","PF","40","$2,579,865","1.48%","","","","","Bird"
"5","Thompson                     Ethan Thompson","SG","28","$2,308,823","1.32%","","","","",""
"6","York                     Gabe York","PG","34","$2,308,823","1.32%","","","","","Two-Way"
"7","Peter                     Taelon Peter","G","25","$2,301,485","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $2,869,260"," "," "," "," "," "," "

