" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gobert                     Rudy Gobert","C","30","$38,172,414","30.87%","$38,172,414","$38,172,414","$38,172,414","$38,172,414","2028"
"2","Towns                     Karl-Anthony Towns","C","27","$33,833,400","27.36%","$33,833,400","$33,833,400","$33,833,400","$33,833,400","2028"
"3","Conley                     Mike Conley","PG","35","$22,680,000","18.34%","$24,180,000","$22,680,000","$7,690,345","$22,680,000","2026"
"4","Edwards                     Anthony Edwards","SG","21","$10,733,400","8.68%","$10,733,400","$10,733,400","$10,733,400","$10,733,400","2029"
"5","Anderson                     Kyle Anderson","PF","29","$8,780,488","7.10%","$8,780,488","$8,780,488","$8,780,488","$8,780,488","2027"
"6","Prince                     Taurean Prince","PF","28","$7,100,000","5.74%","$8,075,000","$7,100,000","$7,100,000","$7,100,000","2027"
"7","Alexander-Walker                     Nickeil Alexander-Walker","SG","24","$5,009,633","4.05%","$5,009,633","$5,009,633","$1,727,460","$5,009,633","2029"
"8","Moore Jr.                     Wendell Moore Jr.","SG","21","$2,306,520","1.87%","$2,306,520","$2,306,520","$2,306,520","$2,306,520","2026"
"9","McDaniels                     Jaden McDaniels","PF","22","$2,161,440","1.75%","$2,161,440","$2,161,440","$2,161,440","$2,161,440","2029"
"10","McLaughlin                     Jordan McLaughlin","PG","26","$2,160,000","1.75%","$2,260,000","$2,160,000","$2,160,000","$2,160,000","2026"
"11","Nowell                     Jaylen Nowell","SG","23","$1,930,681","1.56%","$1,930,681","$1,930,681","$1,930,681","$1,930,681","2023"
"12","Reid                     Naz Reid","C","23","$1,930,681","1.56%","$1,930,681","$1,930,681","$1,930,681","$1,930,681","2030"
"13","Rivers                     Austin Rivers","SG","30","$1,836,090","1.48%","$1,836,090","$1,806,030","$2,905,851","$2,905,851","2023"
"14","Knight                     Nathan Knight","PF","25","$1,836,090","1.48%","$1,836,090","$1,836,090","$1,836,090","$1,836,090","2024"
"15","Minott                     Josh Minott","SF","20","$1,017,781","0.82%","$1,017,781","$1,017,781","$1,017,781","$1,017,781","2027"
"16","Garza                     Luka Garza","C","24","Two-Way","'-","'-","'-","'-","'-","2027"
"17","Ryan                     Matt Ryan","SF","25","Two-Way","'-","'-","'-","'-","'-","2023"

