" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Cauley-Stein                     Willie Cauley-Stein","C","28","$4,100,000","3.65%","$4,100,000","$4,100,000","$4,100,000","'-"
"2","Brown                     Moses Brown","C","22","$1,701,593","1.51%","$1,701,593","$1,701,593","$1,701,593","'-"
"3","Terry                     Tyrell Terry","PG","21","$1,517,981","1.35%","$1,517,981","$1,517,981","$1,517,981","'-"
"4","Chriss                     Marquese Chriss","SF","24","$111,457","0.10%","$111,457","$111,457","$111,457","$111,457"
"5","Knight                     Brandon Knight","PG","30","'-","'-","'-","'-","$138,019","$138,019"
"6","Knight                     Brandon Knight","PG","30","'-","'-","'-","'-","$138,019","$138,019"
"7","Thomas                     Isaiah Thomas","PG","32","'-","'-","'-","'-","$138,019","$138,019"
"8","Chriss                     Marquese Chriss","SF","24","'-","'-","'-","'-","$111,457","$111,457"
"9","Chriss                     Marquese Chriss","SF","24","'-","'-","'-","'-","$111,457","$111,457"
"10","Pinson                     Theo Pinson","SG","26","'-","'-","'-","'-","$99,380","$99,380"
"11","Pinson                     Theo Pinson","SG","26","'-","'-","'-","'-","$99,380","$99,380"
"12","Brown Jr.                     Charlie Brown Jr.","SG","23","'-","'-","'-","'-","$95,930","$95,930"
"13","King                     George King","SF","28","'-","'-","'-","'-","$85,578","$85,578"
"14","Jones                     Carlik Jones","PG","24","'-","'-","'-","'-","$53,176","$53,176"

