" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Griffin                     Blake Griffin","PF","32","$29,764,126","26.48%","$29,764,126","$29,764,126","$29,764,126","'-"
"2","Jordan                     DeAndre Jordan","C","33","$7,875,533","7.01%","$7,875,533","$7,875,533","$7,875,533","'-"
"3","Dedmon                     Dewayne Dedmon","C","32","$2,748,674","2.45%","$2,748,674","$2,748,674","$2,748,674","'-"
"4","Joseph                     Cory Joseph","PG","30","$2,400,000","2.14%","$2,400,000","$2,400,000","$2,400,000","'-"
"5","Sirvydis                     Deividas Sirvydis","SF","21","$1,517,981","1.35%","$1,517,981","$1,517,981","$1,517,981","'-"
"6","Smith                     Zhaire Smith","SG","22","$1,068,200","0.95%","$1,068,200","$1,068,200","$1,068,200","'-"
"7","Key                     Braxton Key","SF","24","$53,176","0.05%","$53,176","$95,930","$53,176","$53,176"
"8","Diallo                     Cheick Diallo","PF","25","'-","'-","'-","'-","$102,831","$102,831"
"9","Walton Jr.                     Derrick Walton Jr.","PG","26","'-","'-","'-","'-","$95,930","$95,930"
"10","Robinson                     Justin Robinson","PG","24","'-","'-","'-","'-","$95,930","$95,930"
"11","Sirvydis                     Deividas Sirvydis","SF","21","'-","'-","'-","'-","$85,578","$85,578"
"12","Stanley                     Cassius Stanley","SG","22","'-","'-","'-","'-","$85,578","$85,578"
"13","Stanley                     Cassius Stanley","SG","22","'-","'-","'-","'-","$85,578","$85,578"
"14","Stanley                     Cassius Stanley","SG","22","'-","'-","'-","'-","$85,578","$85,578"
"15","Potter                     Micah Potter","C","23","'-","'-","'-","'-","$53,176","$53,176"
"16","Palmer                     Trayvon Palmer","G","27","'-","'-","'-","'-","$53,176","$53,176"
"17","Paige                     Jaysean Paige","G","27","'-","'-","'-","'-","$53,176","$53,176"

