" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Wall                     John Wall","PG","32","$40,866,760","33.05%","$40,866,760","$40,866,760","$40,866,760","'-"
"2","Favors                     Derrick Favors","C","31","$10,183,800","8.24%","$10,183,800","$10,183,800","$10,183,800","'-"
"3","Green                     Danny Green","SF","35","$9,710,528","7.85%","$9,710,528","$9,710,528","$3,101,333","'-"
"4","Wall                     John Wall","PG","32","$6,479,000","5.24%","$6,479,000","$6,479,000","$2,196,902","'-"
"5","Holiday                     Justin Holiday","SG","33","$6,292,440","5.09%","$6,292,440","$6,292,440","$2,133,643","'-"
"6","Harkless                     Maurice Harkless","SF","29","$4,564,980","3.69%","$4,564,980","$4,564,980","$4,564,980","'-"
"7","Jerome                     Ty Jerome","SG","25","$4,220,057","3.41%","$4,220,057","$4,220,057","$4,220,057","'-"
"8","Marjanovic                     Boban Marjanovic","C","34","$3,500,000","2.83%","$3,500,000","$3,500,000","$3,500,000","'-"
"9","Maledon                     Theo Maledon","PG","21","$1,900,000","1.54%","$1,900,000","$1,900,000","$1,900,000","'-"
"10","Augustin                     D.J. Augustin","PG","35","$333,333","0.27%","$333,333","$333,333","$333,333","'-"
"11","Williams                     Troy Williams","SF","28","$122,741","0.10%","$122,741","$122,741","$122,741","'-"
"12","Cauley-Stein                     Willie Cauley-Stein","C","29","$105,522","0.09%","$105,522","$105,522","$141,580","$141,580"

