" ","Player (3)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Bullock                     Reggie Bullock","SF","34","$2,296,274","1.48%","","","","","Non-Bird"
"2","Marjanovic                     Boban Marjanovic","C","37","$2,296,274","1.48%","","","","","Bird"
"3","McVeigh                     Jack McVeigh","F","29","$2,048,494","1.32%","","","","","Two-Way"

