" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Dunn                     Kris Dunn","PG","27","$5,005,350","4.45%","$5,005,350","$5,005,350","$5,005,350","'-"
"2","Rondo                     Rajon Rondo","PG","35","$4,858,309","4.32%","$4,858,309","$4,858,309","$4,858,309","'-"
"3","Gasol                     Marc Gasol","C","37","$2,692,991","2.40%","$2,692,991","$2,692,991","$2,692,991","'-"
"4","Edwards                     Carsen Edwards","PG","23","$1,782,621","1.59%","$1,782,621","$1,782,621","$1,782,621","'-"
"5","Oturu                     Daniel Oturu","C","22","$1,517,981","1.35%","$1,517,981","$1,517,981","$1,517,981","'-"
"6","Merrill                     Sam Merrill","SG","25","$1,517,981","1.35%","$1,517,981","$1,517,981","$1,517,981","'-"
"7","Porter                     Jontay Porter","PF","22","$300,000","0.27%","$300,000","$300,000","$300,000","'-"
"8","Harrison                     Shaquille Harrison","PG","28","'-","'-","'-","'-","$102,831","$102,831"
"9","Jeffries                     DaQuan Jeffries","SG","24","'-","'-","'-","'-","$95,930","$95,930"
"10","Terry                     Tyrell Terry","PG","21","'-","'-","'-","'-","$85,578","$85,578"
"11","Mathias                     Dakota Mathias","SG","26","'-","'-","'-","'-","$53,176","$53,176"
"12","Mathias                     Dakota Mathias","SG","26","'-","'-","'-","'-","$53,176","$53,176"
"13","Buchanan                     Shaq Buchanan","SG","25","'-","'-","'-","'-","$53,176","$53,176"
"14","Teske                     Jon Teske","C","24","'-","'-","'-","'-","$53,176","$53,176"
"15","Sneed                     Xavier Sneed","SF","24","'-","'-","'-","'-","$53,176","$53,176"

