" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Leuer                     Jon Leuer","PF","32","$3,169,347","2.82%","$3,169,347","$3,169,347","$3,169,347","'-"
"2","Sanders                     Larry Sanders","C","33","$1,865,546","1.66%","$1,865,546","$1,865,546","$1,865,546","'-"
"3","Cousins                     DeMarcus Cousins","C","31","$607,285","0.54%","$607,285","$607,285","$607,285","'-"
"4","Bembry                     DeAndre' Bembry","SF","27","$518,022","0.46%","$518,022","$518,022","$601,867","'-"
"5","Kalaitzakis                     Georgios Kalaitzakis","SF","23","$462,629","0.41%","$462,629","$462,629","$462,629","'-"
"6","Monroe                     Greg Monroe","C","31","$95,930","0.09%","$95,930","$95,930","$138,019","$138,019"
"7","Galloway                     Langston Galloway","SG","30","'-","'-","'-","'-","$128,709","$128,709"
"8","Kornet                     Luke Kornet","C","26","'-","'-","'-","'-","$102,831","$102,831"
"9","DeLaurier                     Javin DeLaurier","PF","23","'-","'-","'-","'-","$53,176","$53,176"
"10","Dowtin                     Jeff Dowtin","PG","24","'-","'-","'-","'-","$53,176","$53,176"

