"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Wagner                   Franz Wagner","SF","26","DRK-EXT","$44,847,630","25.73%","$44,847,630","'-","'-","'-","$44,847,630"
"Banchero                   Paolo Banchero","PF","25","DRK-EXT","$44,820,000","25.71%","$44,820,000","'-","'-","'-","$44,820,000"
"Bane                   Desmond Bane","SG","29","RK-EXT","$42,166,510","24.19%","$42,166,510","'-","$1,415,770","'-","$42,166,510"
"Suggs                   Jalen Suggs","SG","26","RK-EXT","$29,600,000","16.98%","$29,600,000","'-","'-","'-","$29,600,000"
"Carter Jr.                   Wendell Carter Jr.","C","28","VET-EXT","$19,550,160","11.22%","$19,550,160","'-","'-","'-","$19,550,160"
"Isaac                   Jonathan Isaac","PF","30","VET-EXT","$14,500,000","8.32%","$14,500,000","'-","'-","'-","'-"
"Da Silva                   Tristan Da Silva","SF","26","RK-1ST","$6,138,466","3.52%","$6,138,466","'-","'-","'-","'-"
"Richardson                   Jase Richardson","SG","22","RK-1ST","$3,282,000","1.88%","$3,282,000","'-","'-","'-","'-"
"Penda                   Noah Penda","SF","23","RK-2ND","$2,525,901","1.45%","$2,525,901","'-","'-","'-","'-"

