"Player (17 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Westbrook                   Russell Westbrook","PG","28","VET-EXT","$26,540,100","28.19%","$26,540,100","'-","'-","'-","$26,540,100"
"Freedom                   Enes Freedom","C","24","FA","$17,145,838","18.21%","$17,145,838","'-","'-","'-","$17,145,838"
"Gibson                   Taj Gibson","PF","31","RK-EXT","$8,950,000","9.51%","$8,950,000","'-","'-","'-","'-"
"Oladipo                   Victor Oladipo","SG","24","RK-1ST","$6,552,960","6.96%","$6,552,960","'-","'-","'-","$6,552,960"
"Abrines                   Alex Abrines","SG","24","","$5,994,764","6.37%","$5,994,764","'-","'-","'-","$5,994,764"
"Singler                   Kyle Singler","SF","28","","$4,837,500","5.14%","$4,837,500","'-","'-","'-","$4,837,500"
"Collison                   Nick Collison","PF","36","VET-EXT","$3,750,000","3.98%","$3,750,000","'-","'-","'-","'-"
"Adams                   Steven Adams","C","23","RK-1ST","$3,140,517","3.34%","$3,140,517","'-","'-","'-","$3,140,517"
"McDermott                   Doug McDermott","SF","25","RK-1ST","$2,483,040","2.64%","$2,483,040","'-","'-","'-","$2,483,040"
"Sabonis                   Domantas Sabonis","PF","20","RK-1ST","$2,440,200","2.59%","$2,440,200","'-","'-","'-","$2,440,200"
"Roberson                   Andre Roberson","SG","25","RK-1ST","$2,183,072","2.32%","$2,183,072","'-","'-","'-","$2,183,072"
"Huestis                   Josh Huestis","SF","25","RK-1ST","$1,191,480","1.27%","$1,191,480","'-","'-","'-","$1,191,480"
"Grant                   Jerami Grant","SF","22","RK","$980,431","1.04%","$980,431","'-","'-","'-","$980,431"
"Christon                   Semaj Christon","PG","24","","$543,471","0.58%","$543,471","'-","'-","'-","$543,471"
"Christon                   Semaj Christon","PG","24","","$543,471","0.58%","$543,471","'-","'-","'-","$543,471"
"Cole                   Norris Cole","PG","28","","$247,991","0.26%","$288,131","'-","'-","'-","$288,131"
"Cole                   Norris Cole","PG","28","","$247,991","0.26%","$288,131","'-","'-","'-","$288,131"

