"Player (16 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Maggette                   Corey Maggette","SF","32","","$10,262,069","17.68%","$8,259,714","'-","'-","'-","'-"
"Wallace                   Gerald Wallace","SF","29","","$9,500,000","16.37%","$9,500,000","'-","'-","'-","'-"
"Thomas                   Tyrus Thomas","PF","25","","$7,305,765","12.59%","$5,880,250","'-","'-","'-","'-"
"Diop                   DeSagana Diop","C","30","","$6,925,400","11.93%","$5,574,102","'-","'-","'-","'-"
"Carroll                   Matt Carroll","SG","31","","$3,900,000","6.72%","$3,139,024","'-","'-","'-","'-"
"Augustin                   D.J. Augustin","PG","24","RK","$3,236,470","5.58%","$2,604,964","'-","'-","'-","$2,604,964"
"Biyombo                   Bismack Biyombo","C","19","RK-1ST","$2,798,040","4.82%","$2,252,081","'-","'-","'-","$2,252,081"
"Najera                   Eduardo Najera","PF","35","","$2,750,000","4.74%","$2,213,415","'-","'-","'-","'-"
"Walker                   Kemba Walker","PG","21","RK-1ST","$2,356,320","4.06%","$1,896,550","'-","'-","'-","$1,896,550"
"Henderson                   Gerald Henderson","SG","24","RK-1ST","$2,250,600","3.88%","$1,811,459","'-","'-","'-","'-"
"Williams                   Reggie Williams","SF","25","","$2,012,195","3.47%","$2,012,195","'-","'-","'-","'-"
"White                   D.J. White","PF","25","RK-1ST","$2,001,167","3.45%","$1,610,695","'-","'-","'-","'-"
"Mullens                   B.J. Mullens","PF","22","RK-1ST","$1,288,200","2.22%","$1,036,844","'-","'-","'-","'-"
"Brown                   Derrick Brown","PG","24","","$854,389","1.47%","$687,679","'-","'-","'-","'-"
"Higgins                   Cory Higgins","SG","22","RK","$381,193","0.66%","$381,193","'-","'-","'-","'-"
"Moon                   Jamorio Moon","PF","31","","$96,017","0.17%","$77,282","'-","'-","'-","'-"

