" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Thompson                     Tristan Thompson","C","30","$8,946,611","7.96%","$8,946,611","$8,946,611","$2,633,613","'-"
"2","Ellis                     Monta Ellis","SG","36","$2,245,400","2.00%","$2,245,400","$2,245,400","$2,245,400","'-"
"3","Martin                     Kelan Martin","SF","26","$801,900","0.71%","$801,900","$801,900","$801,900","'-"
"4","Wanamaker                     Brad Wanamaker","PG","32","$715,538","0.64%","$715,538","$715,538","$715,538","'-"
"5","Sykes                     Keifer Sykes","PG","28","$558,345","0.50%","$558,345","$1,007,263","$558,345","'-"
"6","Stephenson                     Lance Stephenson","SG","31","$95,930","0.09%","$95,930","$95,930","$138,019","$138,019"
"7","Stephenson                     Lance Stephenson","SG","31","$95,930","0.09%","$95,930","$95,930","$138,019","$138,019"
"8","Anderson                     Justin Anderson","SG","28","$95,930","0.09%","$95,930","$95,930","$111,457","'-"
"9","Anderson                     Justin Anderson","SG","28","$95,930","0.09%","$95,930","$95,930","$111,457","$111,457"
"10","Stephenson                     Lance Stephenson","SG","31","'-","'-","'-","'-","$138,019","$138,019"
"11","Stephenson                     Lance Stephenson","SG","31","'-","'-","'-","'-","$138,019","$138,019"
"12","Anderson                     Justin Anderson","SG","28","'-","'-","'-","'-","$111,457","$111,457"
"13","Perry                     Reggie Perry","C","21","'-","'-","'-","'-","$85,578","$85,578"
"14","Hinton                     Nate Hinton","SG","22","'-","'-","'-","'-","$85,578","$85,578"
"15","Caver                     Ahmad Caver","PG","25","'-","'-","'-","'-","$53,176","$53,176"

