"Player (7)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Kuzma                   Kyle Kuzma","PF","32","FA","$31,417,728","18.03%","'-","","","Bird",""
"Porter Jr.                   Kevin Porter Jr.","PG","27","FA","$10,242,330","5.88%","'-","","","Bird",""
"Trent Jr.                   Gary Trent Jr.","SG","29","FA","$7,399,039","4.25%","'-","","","Bird",""
"Jackson Jr.                   Andre Jackson Jr.","SG","26","RK-2ND","$2,957,063","1.70%","'-","","","Bird",""
"Sims                   Jericho Sims","C","29","FA","$2,579,865","1.48%","'-","","","Bird",""
"Harris                   Gary Harris","SG","33","FA","$2,579,865","1.48%","'-","","","Early Bird",""
"Prince                   Taurean Prince","PF","33","FA","$2,525,905","1.45%","'-","","","Bird",""
"Incomplete Roster Charge"," "," "," ","                                   $10,042,410"," "," "," "," "," "," "

