" ","Player (2)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Onuaku                     Arinze Onuaku","PF","28","$1,147,276","1.64%","","","","",""
"2","Jeffers                     Othyus Jeffers","PG","30","$947,276","1.35%","","","","",""
"","Round 2, Pick #31","","","                                                   -"," "," "," "," "," "," "

