" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Valanciunas                     Jonas Valanciunas","C","28","$15,000,000","13.74%","$15,000,000","$15,000,000","$15,000,000","$15,000,000","2027"
"2","Winslow                     Justise Winslow","SF","24","$13,000,000","11.91%","$13,000,000","$13,000,000","$13,000,000","$13,000,000","2022"
"3","Brooks                     Dillon Brooks","SF","25","$11,400,000","10.45%","$11,400,000","$11,400,000","$11,400,000","$11,400,000","2027"
"4","Melton                     De'Anthony Melton","SG","22","$9,571,712","8.77%","$9,571,712","$9,571,712","$9,571,712","$9,571,712","2027"
"5","Anderson                     Kyle Anderson","PF","27","$9,505,100","8.71%","$9,505,100","$9,505,100","$9,505,100","$9,505,100","2027"
"6","Morant                     Ja Morant","PG","21","$9,166,800","8.40%","$9,166,800","$9,166,800","$9,166,800","$9,166,800","2028"
"7","Jones                     Tyus Jones","PG","24","$8,817,143","8.08%","$8,817,143","$8,817,143","$8,817,143","$7,965,100","2026"
"8","Jackson Jr.                     Jaren Jackson Jr.","PF","21","$7,257,360","6.65%","$7,257,360","$7,257,360","$7,257,360","$7,257,360","2030"
"9","Clarke                     Brandon Clarke","PF","24","$2,602,920","2.38%","$2,602,920","$2,602,920","$2,602,920","$2,602,920","2027"
"10","Allen                     Grayson Allen","SG","25","$2,545,320","2.33%","$2,545,320","$2,545,320","$2,545,320","$2,545,320","2028"
"11","Konchar                     John Konchar","SG","24","$2,100,000","1.92%","$2,100,000","$2,100,000","$2,100,000","$2,100,000","2027"
"12","Bane                     Desmond Bane","SG","22","$1,936,440","1.77%","$1,936,440","$1,936,440","$1,936,440","$1,936,440","2029"
"13","Porter                     Jontay Porter","PF","21","$1,900,000","1.74%","$1,900,000","$1,900,000","$1,900,000","$1,900,000","2023"
"14","Tillman                     Xavier Tillman","PF","22","$1,300,000","1.19%","$1,300,000","$1,300,000","$1,300,000","$1,300,000","2024"
"15","Frazier                     Tim Frazier","PG","30","$255,294","0.23%","$255,294","$255,294","$296,616","$296,616","2021"
"16","Tillie                     Killian Tillie","PF","22","Two-Way","'-","'-","'-","'-","'-","20201"
"17","McDermott                     Sean McDermott","SF","","Two-Way","'-","'-","'-","'-","'-","2022"

