" ","Player (5)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Miles                     C.J. Miles","SF","32","$8,730,159","8.00%","$8,730,159","$8,730,159","$8,730,159","'-"
"2","Simmons                     Jonathon Simmons","SF","30","$1,000,000","0.92%","$1,000,000","$1,000,000","$1,000,000","'-"
"3","Robinson                     Justin Robinson","PG","22","$395,866","0.36%","$395,866","$395,866","$395,866","'-"
"4","Jones                     Jermerrio Jones","F","24","$199,000","0.18%","$199,000","$199,000","$199,000","'-"
"5","Williams                     Johnathan Williams","PF","24","$106,181","0.10%","$106,181","$106,181","$106,181","'-"

