" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Perkins                     Kendrick Perkins","C","30","$8,719,795","13.83%","$8,719,795","$8,719,795","$8,719,795","'-"
"2","Felix                     Carrick Felix","SG","24","$816,482","1.29%","$816,482","$816,482","$816,482","'-"
"3","Murry                     Toure Murry","SF","25","$417,647","0.66%","$417,647","$417,647","$417,647","'-"
"4","Christopher                     Patrick Christopher","SG","26","$379,010","0.60%","$379,010","$379,010","$379,010","'-"
"5","Hamilton                     Jordan Hamilton","SF","24","$66,929","0.11%","$66,929","$66,929","$66,929","'-"
"6","Murphy                     Kevin Murphy","SG","24","$65,000","0.10%","$65,000","$65,000","$65,000","'-"
"7","Bost                     Dee Bost","PG","25","$65,000","0.10%","$65,000","$65,000","$65,000","'-"
"8","Cooley                     Jack Cooley","PF","23","$65,000","0.10%","$65,000","$65,000","$65,000","'-"
"9","Williams                     Elliot Williams","SG","25","$53,838","0.09%","$53,838","$53,838","$57,711","'-"
"10","Williams                     Elliot Williams","SG","25","$53,838","0.09%","$53,838","$53,838","$57,711","'-"
"11","Johnson                     Christapher Johnson","SF","24","$53,838","0.09%","$53,838","$53,838","$53,838","'-"
"12","Cotton                     Bryce Cotton","PG","22","$29,843","0.05%","$29,843","$29,843","$29,843","'-"
"13","Cotton                     Bryce Cotton","PG","22","$29,843","0.05%","$29,843","$29,843","$29,843","'-"
"14","Benimon                     Jerrelle Benimon","PF","23","$29,843","0.05%","$29,843","$29,843","$29,843","'-"
"15","Cooley                     Jack Cooley","PF","23","$29,843","0.05%","$29,843","$29,843","$29,843","'-"
"16","Cooley                     Jack Cooley","PF","23","$29,843","0.05%","$29,843","$29,843","$29,843","'-"
"17","Millsap                     Elijah Millsap","SG","27","$29,843","0.05%","$29,843","$29,843","$29,843","$29,843"
"18","Millsap                     Elijah Millsap","SG","27","$29,843","0.05%","$29,843","$29,843","$29,843","$29,843"

