" ","Player (4)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Alvarado                     Jose Alvarado","PG","29","$8,550,000","4.91%","","","","",""
"2","McBride                     Miles McBride","PG","27","$7,517,394","4.31%","","","","","Bird"
"3","Koponen                     Petteri Koponen","G","39","$3,490,320","2.00%","","","","","1st Round Pick"
"4","Tucker                     P.J. Tucker","PF","42","$2,588,091","1.48%","","","","","Non-Bird"
"Incomplete Roster Charge","","","","                                                   $7,173,150"," "," "," "," "," "," "

