"Player (5)","Pos","","","Cap Hit","Cap Hit Pct                 League Cap","","","","",""
"Warren                   Willie Warren","PG","","","$788,872","1.36%","","","","",""
"Jones                   Solomon Jones","PF","","","$300,820","0.52%","","","","",""
"Simmons                   Bobby Simmons","SF","","","$71,314","0.12%","","","","",""
"Simmons                   Bobby Simmons","SF","","","$71,314","0.12%","","","","",""
"Fortson                   Courtney Fortson","SG","","","$50,230","0.09%","","","","",""

