" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Biyombo                     Bismack Biyombo","C","24","$17,000,000","18.06%","$18,000,000","$17,000,000","$17,000,000","$17,000,000","2026"
"2","Fournier                     Evan Fournier","SG","24","$17,000,000","18.06%","$17,000,000","$17,000,000","$17,000,000","$17,000,000","2021"
"3","Green                     Jeff Green","SF","30","$15,000,000","15.93%","$15,000,000","$15,000,000","$15,000,000","'-","2017"
"4","Vucevic                     Nikola Vucevic","C","26","$11,750,000","12.48%","$11,750,000","$11,750,000","$11,750,000","$11,750,000","2019"
"5","Ross                     Terrence Ross","SG","25","$10,000,000","10.62%","$10,000,000","$10,000,000","$3,411,765","$10,000,000","2019"
"6","Augustin                     D.J. Augustin","PG","29","$7,250,000","7.70%","$7,250,000","$7,250,000","$7,250,000","$7,250,000","2020"
"7","Meeks                     Jodie Meeks","SG","29","$6,540,000","6.95%","$6,540,000","$6,540,000","$6,540,000","$6,540,000","2017"
"8","Watson                     C.J. Watson","PG","32","$5,000,000","5.31%","$5,000,000","$5,000,000","$5,000,000","$5,000,000","2018"
"9","Gordon                     Aaron Gordon","PF","21","$4,351,320","4.62%","$4,351,320","$4,351,320","$4,351,320","$4,351,320","2029"
"10","Hezonja                     Mario Hezonja","SG","21","$3,909,840","4.15%","$3,909,840","$3,909,840","$3,909,840","$3,909,840","2018"
"11","Payton                     Elfrid Payton","PG","22","$2,613,600","2.78%","$2,613,600","$2,613,600","$2,613,600","$2,613,600","2018"
"12","Rudez                     Damjan Rudez","SF","30","$980,431","1.04%","$980,431","$980,431","$980,431","$980,431","2017"
"13","Zimmerman                     Stephen Zimmerman","C","20","$950,000","1.01%","$950,000","$950,000","$950,000","'-","2019"
"14","Garino                     Patricio Garino","SF","23","$150,000","0.16%","$150,000","$57,672","$150,000","$150,000","2018"
"15","Georges-Hunt                     Marcus Georges-Hunt","SG","22","$100,000","0.11%","$100,000","$100,000","$100,000","$100,000","2018"

