" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Adams                     Steven Adams","C","27","$29,592,695","27.11%","$29,592,695","$29,592,695","$27,528,088","$27,528,088","2028"
"2","Ingram                     Brandon Ingram","SF","23","$27,285,000","25.00%","$27,285,000","$27,285,000","$27,285,000","$27,285,000","2028"
"3","Bledsoe                     Eric Bledsoe","PG","31","$16,875,000","15.46%","$16,875,000","$16,875,000","$16,875,000","$16,875,000","2023"
"4","Johnson                     James Johnson","PF","33","$16,047,100","14.70%","$16,047,100","$16,047,100","$6,078,317","$15,794,100","2021"
"5","Ball                     Lonzo Ball","PG","23","$11,003,782","10.08%","$11,003,782","$11,003,782","$11,003,782","$11,003,782","2027"
"6","Williamson                     Zion Williamson","PF","20","$10,245,480","9.39%","$10,245,480","$10,245,480","$10,245,480","$10,245,480",""
"7","Hayes                     Jaxson Hayes","C","20","$5,105,160","4.68%","$5,105,160","$5,105,160","$5,105,160","$5,105,160","2026"
"8","Lewis Jr.                     Kira Lewis Jr.","PG","19","$3,640,200","3.34%","$3,640,200","$3,640,200","$3,640,200","$3,640,200","2024"
"9","Hart                     Josh Hart","SG","25","$3,491,159","3.20%","$3,491,159","$3,491,159","$3,491,159","$3,491,159","2028"
"10","Alexander-Walker                     Nickeil Alexander-Walker","SG","22","$3,113,160","2.85%","$3,113,160","$3,113,160","$3,113,160","$3,113,160","2029"
"11","Iwundu                     Wesley Iwundu","SF","26","$1,678,854","1.54%","$1,678,854","$1,678,854","$609,447","$1,678,854","2022"
"12","Hernangomez                     Willy Hernangomez","C","26","$1,620,564","1.48%","$1,620,564","$1,620,564","$1,737,145","$1,737,145","2021"
"13","Gabriel                     Wenyen Gabriel","PF","23","$1,620,564","1.48%","$1,620,564","$1,620,564","$1,620,564","$1,620,564","2022"
"14","Louzada                     Didi Louzada","SF","21","$123,056","0.11%","$123,056","$123,056","$123,056","$123,056","2022"
"15","Marshall                     Naji Marshall","SF","23","$120,000","0.11%","$120,000","$120,000","$120,000","$120,000","2027"
"16","Nunnally                     James Nunnally","SF","30","Two-Way","'-","'-","'-","'-","'-","2021"

