" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Howard                     Dwight Howard","C","31","$23,180,275","24.62%","$23,180,275","$23,180,275","$23,180,275","$23,180,275","2019"
"2","Millsap                     Paul Millsap","PF","31","$20,072,033","21.32%","$20,072,033","$20,072,033","$20,072,033","'-","2018"
"3","Bazemore                     Kent Bazemore","SF","27","$15,730,338","16.71%","$15,730,338","$15,730,338","$15,730,338","$15,730,338","2020"
"4","Ilyasova                     Ersan Ilyasova","PF","29","$8,400,000","8.92%","$8,400,000","$8,400,000","$8,400,000","$8,400,000","2017"
"5","Dunleavy                     Mike Dunleavy","SF","36","$4,837,500","5.14%","$4,837,500","$4,837,500","$2,703,309","$4,837,500","2018"
"6","Humphries                     Kris Humphries","PF","31","$4,000,000","4.25%","$4,000,000","$4,000,000","$4,000,000","'-","2017"
"7","Sefolosha                     Thabo Sefolosha","SF","32","$3,850,000","4.09%","$3,850,000","$3,850,000","$3,850,000","'-","2017"
"8","Schröder                     Dennis Schröder","PG","23","$2,708,582","2.88%","$2,708,582","$2,708,582","$2,708,582","$2,708,582","2028"
"9","Delaney                     Malcom Delaney","SG","27","$2,500,000","2.66%","$2,500,000","$2,500,000","$2,500,000","$2,500,000","2018"
"10","Prince                     Taurean Prince","SF","22","$2,318,280","2.46%","$2,318,280","$2,318,280","$2,318,280","$2,318,280","2027"
"11","Hardaway Jr.                     Tim Hardaway Jr.","SG","24","$2,281,605","2.42%","$2,281,605","$2,281,605","$2,281,605","$2,281,605","2026"
"12","Bembry                     DeAndre' Bembry","SF","22","$1,499,760","1.59%","$1,499,760","$1,499,760","$1,499,760","$1,499,760","2020"
"13","Muscala                     Mike Muscala","C","25","$1,015,696","1.08%","$1,015,696","$1,015,696","$1,015,696","$1,015,696","2017"
"14","Kelly                     Ryan Kelly","PF","25","$286,785","0.30%","$286,785","$286,785","$286,785","$286,785","2018"
"15","Calderon                     Jose Calderon","PG","35","$247,991","0.26%","$247,991","$247,991","$365,096","$365,096","2017"

