" ","Player (1)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Pons                     Yves Pons","G","24","$1,801,769","1.32%","","","","","Two-Way"
"","Round 2, Pick #56","","","                                                   -"," "," "," "," "," "," "

