"Player (15 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Paul                   Chris Paul","PG","29","VET-EXT","$20,068,563","31.82%","$20,068,563","'-","'-","'-","'-"
"Griffin                   Blake Griffin","PF","25","DRK-EXT","$17,674,613","28.03%","$17,674,613","'-","'-","'-","$17,674,613"
"Jordan                   DeAndre Jordan","C","26","","$11,440,123","18.14%","$11,440,123","'-","'-","'-","$11,440,123"
"Redick                   J.J. Redick","SG","30","S&T","$6,792,500","10.77%","$6,792,500","'-","'-","'-","$6,792,500"
"Hawes                   Spencer Hawes","PF","26","","$5,871,309","9.31%","$5,305,000","'-","'-","'-","$5,305,000"
"Crawford                   Jamal Crawford","SG","34","","$5,450,000","8.64%","$5,450,000","'-","'-","'-","'-"
"Barnes                   Matt Barnes","SF","34","","$3,396,250","5.39%","$3,396,250","'-","'-","'-","'-"
"Rivers                   Austin Rivers","SG","22","RK-1ST","$2,439,840","3.87%","$2,439,840","'-","'-","'-","$2,439,840"
"Wilcox                   C.J. Wilcox","SG","24","RK-1ST","$1,109,760","1.76%","$1,109,760","'-","'-","'-","'-"
"Udoh                   Ekpe Udoh","PF","27","","$915,243","1.45%","$981,084","'-","'-","'-","'-"
"Davis                   Glen Davis","PF","29","","$915,243","1.45%","$1,227,985","'-","'-","'-","'-"
"Turkoglu                   Hedo Turkoglu","SF","35","","$915,243","1.45%","$1,448,490","'-","'-","'-","'-"
"Jones                   Dahntay Jones","SF","34","","$387,632","0.61%","$613,478","'-","'-","'-","$613,478"
"Hamilton                   Jordan Hamilton","SF","24","","$150,591","0.24%","$150,591","'-","'-","'-","'-"
"Hudson                   Lester Hudson","PG","30","","$27,887","0.04%","$27,887","'-","'-","'-","'-"

