"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Williamson                   Zion Williamson","PF","28","DRK-EXT","$53,864,316","29.43%","'-","","","Bird",""
"Murray                   Dejounte Murray","PG","32","VET-EXT","$46,127,256","25.20%","'-","","","Bird",""
"Missi                   Yves Missi","C","24","RK-1ST","$16,787,481","9.17%","$8,623,170","","","Restricted Bird",""
"Hernangomez                   Willy Hernangomez","C","34","FA","$4,642,804","2.54%","'-","","","Bird",""
"Snell                   Tony Snell","SG","37","FA","$2,717,496","1.48%","'-","","","Non-Bird",""
"Payton                   Elfrid Payton","PG","34","ROS","$2,717,496","1.48%","'-","","","Early Bird",""
"Boston Jr                   Brandon Boston Jr","SG","27","ROS","$2,717,496","1.48%","'-","","","Early Bird",""
"Nunnally                   James Nunnally","SF","38","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Harper                   Jared Harper","PG","31","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Clark                   Gary Clark","PF","34","2W","$2,424,264","1.32%","'-","","","Non-Bird",""
"Brooks Jr.                   Keion Brooks Jr.","SF","","2W","$2,424,264","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $10,544,534"," "," "," "," "," "," "

