" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Rose                     Derrick Rose","PG","26","$18,862,876","29.91%","$18,862,876","$18,862,876","$18,862,876","'-","2017"
"2","Noah                     Joakim Noah","C","29","$12,700,000","20.14%","$12,700,000","$12,700,000","$12,700,000","$12,700,000","2016"
"3","Gibson                     Taj Gibson","PF","29","$8,000,000","12.69%","$8,000,000","$8,000,000","$8,000,000","$8,000,000","2017"
"4","Gasol                     Pau Gasol","PF","34","$7,128,000","11.30%","$7,128,000","$7,128,000","$7,128,000","'-","2017"
"5","Mirotic                     Nikola Mirotic","PF","23","$5,305,000","8.41%","$5,305,000","$5,305,000","$5,305,000","'-","2017"
"6","Dunleavy                     Mike Dunleavy","SF","34","$3,326,235","5.27%","$3,326,235","$3,326,235","$3,326,235","$3,326,235","2015"
"7","Hinrich                     Kirk Hinrich","SG","34","$2,732,000","4.33%","$2,732,000","$2,732,000","$2,732,000","'-","2016"
"8","McDermott                     Doug McDermott","SF","23","$2,277,960","3.61%","$2,277,960","$2,277,960","$2,277,960","$2,277,960","2018"
"9","Butler                     Jimmy Butler","SG","25","$2,008,748","3.19%","$2,008,748","$2,008,748","$2,008,748","$2,008,748","2027"
"10","Snell                     Tony Snell","SG","23","$1,472,400","2.33%","$1,472,400","$1,472,400","$1,472,400","'-","2017"
"11","Moore                     E'Twaun Moore","SG","25","$948,163","1.50%","$948,163","$948,163","$948,163","$948,163","2016"
"12","Mohammed                     Nazr Mohammed","C","37","$915,243","1.45%","$915,243","$915,243","$1,448,490","'-","2015"
"13","Brooks                     Aaron Brooks","PG","30","$915,243","1.45%","$915,243","$915,243","$1,145,685","'-","2015"
"14","Bairstow                     Cameron Bairstow","PF","24","$507,336","0.80%","$507,336","$507,336","$507,336","'-","2017"
"15","Boozer                     Carlos Boozer","PF","33","'-","'-","'-","'-","$13,549,000","'-",""

