" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Theis                     Daniel Theis","C","31","$6,928,876","5.09%","$6,928,876","$6,928,876","$6,928,876","'-"
"2","Korkmaz                     Furkan Korkmaz","SG","26","$5,370,370","3.95%","$5,370,370","$5,370,370","$2,037,037","'-"
"3","Joseph                     Cory Joseph","PG","32","$2,019,706","1.48%","$2,019,706","$2,019,706","$3,196,448","'-"
"4","Johnson                     James Johnson","PF","36","$1,416,116","1.04%","$1,416,116","$1,416,116","$2,241,188","'-"
"5","Stauskas                     Nik Stauskas","SG","30","$702,311","0.52%","$702,311","$702,311","$702,311","'-"
"6","Morgan                     Juwan Morgan","SF","26","$576,230","0.42%","$576,230","$576,230","$576,230","'-"
"7","Fitts                     Malik Fitts","PF","26","$555,217","0.41%","$555,217","$555,217","$555,217","'-"
"8","Johnson                     James Johnson","PF","36","$116,075","0.09%","$116,075","$116,075","$183,704","$183,704"
"9","Johnson                     James Johnson","PF","36","$116,075","0.09%","$116,075","$116,075","$183,704","$183,704"

