"Player (2)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Markkanen                   Lauri Markkanen","PF","32","VET-EXT","$79,246,650","41.24%","'-","","","Bird",""
"Bailey                   Ace Bailey","SF","23","RK-1ST","$37,920,906","19.73%","$18,025,072","","","Restricted Bird",""
"Incomplete Roster Charge"," "," "," ","                                   $17,398,480"," "," "," "," "," "," "

