" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Porter Jr.                     Michael Porter Jr.","SF","27","$38,333,050","24.79%","$38,333,050","$38,333,050","$38,333,050","$38,333,050","2027"
"2","Claxton                     Nicolas Claxton","C","26","$25,352,272","16.39%","$26,136,360","$25,352,272","$25,352,272","$25,352,272","2028"
"3","Mann                     Terance Mann","SG","29","$15,500,000","10.02%","$15,500,000","$15,500,000","$15,500,000","$15,500,000","2028"
"4","Demin                     Egor Demin","PG","19","$6,889,200","4.45%","$6,889,200","$6,889,200","$6,889,200","$6,889,200","2029"
"5","Agbaji                     Ochai Agbaji","SF","25","$6,383,525","4.13%","$6,383,525","$6,383,525","$2,421,337","$6,383,525","2026"
"6","Williams                     Ziaire Williams","SF","24","$6,250,000","4.04%","$6,250,000","$6,250,000","$6,250,000","$6,250,000","2027"
"7","Sharpe                     Day'Ron Sharpe","C","24","$6,250,000","4.04%","$6,250,000","$6,250,000","$6,250,000","$6,250,000","2027"
"8","Traore                     Nolan Traore","PG","19","$3,811,560","2.46%","$3,811,560","$3,811,560","$3,811,560","$3,811,560","2029"
"9","Clowney                     Noah Clowney","PF","21","$3,398,640","2.20%","$3,398,640","$3,398,640","$3,398,640","$3,398,640","2027"
"10","Powell                     Drake Powell","SF","20","$3,372,240","2.18%","$3,372,240","$3,372,240","$3,372,240","$3,372,240","2029"
"11","Saraf                     Ben Saraf","PG","19","$2,884,560","1.87%","$2,884,560","$2,884,560","$2,884,560","$2,884,560","2029"
"12","Wolf                     Danny Wolf","PF","21","$2,801,280","1.81%","$2,801,280","$2,801,280","$2,801,280","$2,801,280","2029"
"13","Minott                     Josh Minott","SF","23","$2,378,870","1.54%","$2,378,870","$2,378,870","$902,330","$2,378,870","2027"
"14","Wilson                     Jalen Wilson","PF","25","$2,221,677","1.44%","$2,221,677","$2,221,677","$2,221,677","$2,221,677","2026"

