" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Lillard                     Damian Lillard","PG","27","$26,153,057","26.39%","$26,153,057","$26,153,057","$26,153,057","$26,153,057","2028"
"2","McCollum                     C.J. McCollum","SG","26","$23,962,572","24.18%","$23,962,572","$23,962,572","$23,962,572","$23,962,572","2026"
"3","Turner                     Evan Turner","SF","29","$17,131,148","17.29%","$17,131,148","$17,131,148","$17,131,148","$17,131,148","2020"
"4","Harkless                     Maurice Harkless","SF","24","$10,162,921","10.26%","$10,162,921","$10,162,921","$10,162,921","$9,662,921","2020"
"5","Leonard                     Meyers Leonard","C","25","$9,904,494","10.00%","$9,904,494","$9,904,494","$9,904,494","$9,904,494","2020"
"6","Aminu                     Al-Farouq Aminu","PF","27","$7,319,035","7.39%","$7,319,035","$7,319,035","$7,319,035","$7,319,035","2019"
"7","Davis                     Ed Davis","PF","28","$6,352,531","6.41%","$6,352,531","$6,352,531","$6,352,531","$6,352,531","2018"
"8","Collins                     Zach Collins","C","20","$3,057,240","3.09%","$3,057,240","$3,057,240","$3,057,240","$3,057,240","2026"
"9","Nurkic                     Jusuf Nurkic","C","23","$2,947,305","2.97%","$2,947,305","$2,947,305","$2,947,305","$2,947,305","2026"
"10","Napier                     Shabazz Napier","PG","26","$2,361,360","2.38%","$2,361,360","$2,361,360","$2,361,360","$2,361,360","2018"
"11","Connaughton                     Pat Connaughton","SG","25","$1,471,382","1.48%","$1,471,382","$1,471,382","$1,471,382","$1,471,382","2026"
"12","Swanigan                     Caleb Swanigan","PF","20","$1,465,920","1.48%","$1,465,920","$1,465,920","$1,465,920","$1,465,920","2020"
"13","Layman                     Jake Layman","SF","23","$1,312,611","1.32%","$1,312,611","$1,312,611","$1,312,611","$1,312,611","2019"
"14","Baldwin                     Wade Baldwin","PG","21","$229,892","0.23%","$229,892","$229,892","$229,892","$229,892","2019"
"15","Papagiannis                     Georgios Papagiannis","C","20","$185,397","0.19%","$185,397","$185,397","$185,397","$185,397","2019"
"16","Wilcox                     C.J. Wilcox","SG","27","Two-Way","'-","'-","'-","'-","$50,000",""

