" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Jokic                     Nikola Jokic","C","30","$55,224,526","35.71%","$55,224,526","$55,224,526","$55,224,526","$55,224,526","2028"
"2","Murray                     Jamal Murray","PG","28","$46,394,100","30.00%","$46,394,100","$46,394,100","$46,394,100","$46,394,100","2029"
"3","Gordon                     Aaron Gordon","PF","30","$22,841,455","14.77%","$24,041,455","$22,841,455","$22,841,455","$22,841,455","2029"
"4","Johnson                     Cameron Johnson","SF","29","$21,057,065","13.62%","$24,652,174","$21,057,065","$20,543,478","$20,543,478","2027"
"5","Valanciunas                     Jonas Valanciunas","C","33","$10,395,000","6.72%","$10,395,000","$10,395,000","$10,395,000","$10,395,000","2027"
"6","Nnaji                     Zeke Nnaji","PF","25","$8,177,778","5.29%","$8,177,778","$8,177,778","$8,177,778","$8,177,778","2028"
"7","Braun                     Christian Braun","SG","24","$4,921,797","3.18%","$4,921,797","$4,921,797","$4,921,797","$4,921,797","2031"
"8","Watson                     Peyton Watson","SG","23","$4,356,476","2.82%","$4,356,476","$4,356,476","$4,356,476","$4,356,476","2026"
"9","Holmes II                     DaRon Holmes II","PF","23","$3,218,760","2.08%","$3,218,760","$3,218,760","$3,218,760","$3,218,760","2028"
"10","Strawther                     Julian Strawther","SF","23","$2,674,200","1.73%","$2,674,200","$2,674,200","$2,674,200","$2,674,200","2027"
"11","Hardaway Jr.                     Tim Hardaway Jr.","SG","33","$2,296,274","1.48%","$2,296,274","$2,296,274","$3,634,153","$3,634,153","2026"
"12","Brown Jr.                     Bruce Brown Jr.","SG","29","$2,296,274","1.48%","$2,296,274","$2,296,274","$3,080,921","$3,080,921","2026"
"13","Pickett                     Jalen Pickett","PG","26","$2,221,677","1.44%","$2,221,677","$2,221,677","$2,221,677","'-","2027"
"14","Tyson                     Hunter Tyson","SF","25","$2,221,677","1.44%","$2,221,677","$2,221,677","$2,221,677","$2,221,677","2027"
"15","Jones                     Spencer Jones","SF","24","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"16","Bates                     Tamar Bates","G","22","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"17","Jones                     Curtis Jones","G","24","Two-Way","'-","'-","'-","$85,300","$85,300","2026"

