" ","Player (4)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Mills                     Patty Mills","PG","37","$2,296,274","1.48%","","","","","Non-Bird"
"2","Hood                     Rodney Hood","SF","33","$2,296,274","1.48%","","","","","Non-Bird"
"3","Simmons                     Ben Simmons","PG","29","$2,296,274","1.48%","","","","","Non-Bird"
"4","Moon                     Xavier Moon","SG","31","$2,048,494","1.32%","","","","","Two-Way"
"","Round 2, Pick #51","","","                                                   -"," "," "," "," "," "," "

