" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Williams                     Shawne Williams","SF","28","$1,227,985","1.95%","$1,227,985","$1,227,985","$1,227,985","'-"
"2","Miller                     Darius Miller","SF","24","$400,000","0.63%","$400,000","$400,000","$400,000","'-"
"3","Young                     Patric Young","PF","23","$107,436","0.17%","$107,436","$107,436","$107,436","'-"
"4","Mekel                     Gal Mekel","PG","26","$86,451","0.14%","$86,451","$86,451","$86,451","'-"
"5","Douglas                     Toney Douglas","SG","28","$53,838","0.09%","$53,838","$53,838","$62,552","'-"
"6","Douglas                     Toney Douglas","SG","28","$53,838","0.09%","$53,838","$53,838","$62,552","'-"
"7","Williams                     Elliot Williams","SG","25","$53,838","0.09%","$53,838","$53,838","$57,711","'-"
"8","Williams                     Elliot Williams","SG","25","$53,838","0.09%","$53,838","$53,838","$57,711","'-"
"9","Wolters                     Nate Wolters","PG","23","$48,028","0.08%","$48,028","$48,028","$48,028","'-"
"10","Wolters                     Nate Wolters","PG","23","$48,028","0.08%","$48,028","$48,028","$48,028","'-"

