"Player (14 of 15 + 2 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Gallinari                   Danilo Gallinari","SF","30","S&T","$21,587,579","21.19%","$21,587,579","'-","'-","'-","$21,587,579"
"Chandler                   Wilson Chandler","SF","31","VET-EXT","$12,800,562","12.57%","$12,800,562","'-","'-","'-","$12,800,562"
"Williams                   Louis Williams","SG","32","VET-EXT","$8,000,000","7.85%","$8,000,000","'-","'-","'-","$8,000,000"
"Temple                   Garrett Temple","SG","32","","$8,000,000","7.85%","$8,000,000","'-","'-","'-","$8,000,000"
"Green                   JaMychal Green","PF","28","","$7,866,667","7.72%","$7,666,667","$200,000","'-","'-","$7,666,667"
"Harrell                   Montrezl Harrell","C","25","","$6,000,000","5.89%","$6,000,000","'-","'-","'-","$6,000,000"
"Beverley                   Patrick Beverley","PG","30","","$5,027,027","4.93%","$5,027,027","'-","'-","'-","$5,027,027"
"Gilgeous-Alexander                   Shai Gilgeous-Alexander","PG","20","RK-1ST","$3,375,360","3.31%","$3,375,360","'-","'-","'-","$3,375,360"
"Robinson                   Jerome Robinson","SG","21","RK-1ST","$3,046,200","2.99%","$3,046,200","'-","'-","'-","$3,046,200"
"Shamet                   Landry Shamet","SG","21","RK-1ST","$1,703,640","1.67%","$1,703,640","'-","'-","'-","$1,703,640"
"Zubac                   Ivica Zubac","C","21","RK","$1,544,951","1.52%","$1,544,951","'-","'-","'-","$1,544,951"
"McGruder                   Rodney McGruder","SG","27","","$1,544,951","1.52%","$1,544,951","'-","'-","'-","$1,544,951"
"Thornwell                   Sindarius Thornwell","SG","24","RK","$1,378,242","1.35%","$1,378,242","'-","'-","'-","$1,378,242"
"Wallace                   Tyrone Wallace","SG","24","FA","$1,349,383","1.32%","$1,349,383","'-","'-","'-","$1,349,383"
"Motley                   Johnathan Motley","PF","23","2W","Two-Way","'-","'-","'-","'-","'-","$50,000"
"Delgado                   Angel Delgado","C","24","2W","Two-Way","'-","'-","'-","'-","'-","'-"

