"Player (14 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Paul                   Chris Paul","PG","28","VET-EXT","$18,668,431","31.81%","$18,668,431","'-","'-","'-","'-"
"Griffin                   Blake Griffin","PF","24","DRK-EXT","$16,441,500","28.02%","$16,441,500","'-","'-","'-","$16,441,500"
"Jordan                   DeAndre Jordan","C","25","","$10,986,550","18.72%","$10,986,550","'-","'-","'-","$10,986,550"
"Redick                   J.J. Redick","SG","29","S&T","$6,500,000","11.08%","$6,500,000","'-","'-","'-","$6,500,000"
"Crawford                   Jamal Crawford","SG","33","","$5,225,000","8.90%","$5,225,000","'-","'-","'-","'-"
"Dudley                   Jared Dudley","SF","28","RK-EXT","$4,250,000","7.24%","$4,250,000","'-","'-","'-","$4,250,000"
"Barnes                   Matt Barnes","SF","33","","$3,250,000","5.54%","$3,250,000","'-","'-","'-","'-"
"Collison                   Darren Collison","PG","26","","$1,900,000","3.24%","$1,900,000","'-","'-","'-","$1,900,000"
"Green                   Willie Green","SF","32","","$1,399,507","2.39%","$1,399,507","'-","'-","'-","'-"
"Bullock                   Reggie Bullock","SF","22","RK-1ST","$1,149,000","1.96%","$1,149,000","'-","'-","'-","'-"
"Hollins                   Ryan Hollins","C","29","","$884,293","1.51%","$1,186,459","'-","'-","'-","'-"
"Turkoglu                   Hedo Turkoglu","SF","34","","$749,148","1.28%","$749,148","'-","'-","'-","'-"
"Granger                   Danny Granger","SF","30","","$357,452","0.61%","$357,452","'-","'-","'-","'-"
"Davis                   Glen Davis","PF","28","","$338,594","0.58%","$338,594","'-","'-","'-","'-"

