" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Cunningham                     Dante Cunningham","PF","32","$2,984,400","2.73%","","","","",""
"2","Lee                     David Lee","PF","36","$1,620,564","1.48%","","","","",""
"3","Pondexter                     Quincy Pondexter","SG","31","$1,620,564","1.48%","","","","",""
"4","Motiejunas                     Donatas Motiejunas","PF","29","$1,620,564","1.48%","","","","",""
"5","Lauvergne                     Joffrey Lauvergne","PF","28","$1,618,486","1.48%","","","","",""
"6","Hilliard II                     Darrun Hilliard II","SG","26","$1,443,842","1.32%","","","","",""
"7","Costello                     Matt Costello","C","26","$1,443,842","1.32%","","","","",""
"8","Milutinov                     Nikola Milutinov","C","25","'-","'-","","","","","1st Round Pick"
"9","Moore                     Ben Moore","PF","24","'-","'-","","","","",""

