" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Westbrook                     Russell Westbrook","PG","32","$41,358,814","37.90%","$41,358,814","$41,358,814","$40,158,814","$41,358,814","2026"
"2","Beal                     Bradley Beal","SG","27","$28,751,774","26.34%","$28,751,774","$28,751,774","$28,751,774","$28,751,774","2027"
"3","Bertans                     Davis Bertans","PF","28","$15,000,000","13.74%","$15,000,000","$15,000,000","$15,000,000","$15,000,000","2025"
"4","Bryant                     Thomas Bryant","C","23","$8,333,333","7.64%","$8,333,333","$8,333,333","$8,333,333","$8,333,333","2026"
"5","Lopez                     Robin Lopez","C","32","$7,300,000","6.69%","$7,300,000","$7,300,000","$7,300,000","$7,300,000","2021"
"6","Smith                     Ishmael Smith","PG","32","$6,000,000","5.50%","$6,000,000","$6,000,000","$6,000,000","$6,000,000","2021"
"7","Hachimura                     Rui Hachimura","PF","22","$4,692,840","4.30%","$4,692,840","$4,692,840","$4,692,840","$4,692,840","2026"
"8","Avdija                     Deni Avdija","SF","20","$4,469,160","4.09%","$4,469,160","$4,469,160","$4,469,160","$4,469,160","2028"
"9","Hutchison                     Chandler Hutchison","SF","24","$2,443,440","2.24%","$2,443,440","$2,443,440","$887,002","$2,443,440","2022"
"10","Bonga                     Isaac Bonga","SF","21","$1,663,861","1.52%","$1,663,861","$1,663,861","$1,663,861","$1,663,861","2021"
"11","Neto                     Raul Neto","PG","28","$1,620,564","1.48%","$1,620,564","$1,620,564","$1,882,867","$1,882,867","2021"
"12","Gafford                     Daniel Gafford","C","22","$1,517,981","1.39%","$1,517,981","$1,701,593","$551,048","$1,517,981","2029"
"13","Len                     Alex Len","C","27","$1,265,372","1.16%","$1,265,372","$1,265,372","$1,697,755","$1,697,755","2021"
"14","Gill                     Anthony Gill","PF","28","$898,310","0.82%","$898,310","$1,620,564","$898,310","$898,310","2022"
"15","Homesley                     Caleb Homesley","SG","24","$20,000","0.02%","$20,000","$22,200","$20,000","$20,000","2024"
"16","Mathews                     Garrison Mathews","SG","24","Two-Way","'-","'-","'-","'-","'-","2021"
"17","Winston                     Cassius Winston","PG","22","Two-Way","'-","'-","'-","'-","'-","2021"

