" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Rivers                     Austin Rivers","SG","26","$12,000,000","11.78%","$12,000,000","$12,000,000","$7,711,864","'-"
"2","Chandler                     Tyson Chandler","C","36","$11,475,133","11.26%","$11,475,133","$11,475,133","$11,475,133","'-"
"3","Arthur                     Darrell Arthur","PF","30","$7,464,912","7.33%","$7,464,912","$7,464,912","$7,464,912","'-"
"4","Ellington                     Wayne Ellington","SG","31","$6,270,000","6.16%","$6,270,000","$6,270,000","$2,267,119","'-"
"5","Reed                     Davon Reed","SG","23","$1,378,242","1.35%","$1,378,242","$1,378,242","$1,378,242","'-"
"6","Canaan                     Isaiah Canaan","PG","27","$456,733","0.45%","$456,733","$456,733","$456,733","'-"
"7","Moreland                     Eric Moreland","PF","27","$239,035","0.23%","$239,035","$239,035","$239,035","'-"
"8","Acy                     Quincy Acy","PF","28","$85,458","0.08%","$85,458","$85,458","$106,974","$106,974"
"9","Acy                     Quincy Acy","PF","28","$85,458","0.08%","$85,458","$85,458","$106,974","$106,974"
"10","Harrison                     Shaquille Harrison","PG","25","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"11","Terry                     Emanuel Terry","F","23","$47,371","0.05%","$47,371","$85,458","$47,371","$47,371"
"12","Spalding                     Ray Spalding","PF","21","$47,371","0.05%","$47,371","$47,371","$47,371","$47,371"

