" ","Player (13)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Parker                     Jabari Parker","PF","26","$1,068,288","0.95%","$1,068,288","$1,068,288","$1,068,288","'-"
"2","Yabusele                     Guerschon Yabusele","PF","26","$1,039,080","0.92%","$1,039,080","$1,039,080","$1,039,080","'-"
"3","Parker                     Jabari Parker","PF","26","$100,000","0.09%","$100,000","$100,000","$100,000","'-"
"4","Martin                     Kelan Martin","SF","26","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"5","Martin                     Kelan Martin","SF","26","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"6","Jackson                     Demetrius Jackson","PG","27","$92,857","0.08%","$92,857","$92,857","$92,857","'-"
"7","Fitts                     Malik Fitts","PF","24","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"8","Fitts                     Malik Fitts","PF","24","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"9","Johnson                     Joe Johnson","SG","40","'-","'-","'-","'-","$151,821","$151,821"
"10","Miles                     C.J. Miles","SF","34","'-","'-","'-","'-","$151,821","$151,821"
"11","Aminu                     Al-Farouq Aminu","PF","31","'-","'-","'-","'-","$151,821","$151,821"
"12","Jackson                     Justin Jackson","SF","26","'-","'-","'-","'-","$102,831","$102,831"
"13","Pelle                     Norvel Pelle","PF","28","'-","'-","'-","'-","$95,930","$95,930"

