" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Dragic                     Goran Dragic","PG","35","$18,620,165","16.56%","$18,620,165","$18,620,165","$5,771,889","'-"
"2","Aminu                     Al-Farouq Aminu","PF","31","$10,183,800","9.06%","$10,183,800","$10,183,800","$10,183,800","'-"
"3","Satoransky                     Tomas Satoransky","SG","30","$9,531,881","8.48%","$9,531,881","$9,531,881","$9,531,881","'-"
"4","Hutchison                     Chandler Hutchison","SF","25","$4,019,459","3.58%","$4,019,459","$4,019,459","$4,019,459","'-"
"5","Samanic                     Luka Samanic","PF","22","$2,959,080","2.63%","$2,959,080","$2,959,080","$2,959,080","'-"
"6","Carroll                     DeMarre Carroll","SF","35","$1,242,340","1.11%","$1,242,340","$1,242,340","$1,242,340","'-"
"7","Johnson                     Tyler Johnson","SG","29","'-","'-","'-","'-","$128,709","$128,709"
"8","Morris                     Jaylen Morris","G","26","'-","'-","'-","'-","$95,930","$95,930"
"9","Lamb                     Anthony Lamb","SF","24","'-","'-","'-","'-","$85,578","$85,578"

