"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Klay Thompson","SG","GSW                  GSW","28","2019","2023","5","$189,903,600","$37,980,720","$66,056,985","$104,037,705"
"Tobias Harris","PF","PHI                  PHI","26","2019","2023","5","$180,000,000","$36,000,000","$65,054,475","$101,050,425"
"Khris Middleton","SF","MIL                  MIL","27","2019","2023","5","$177,500,000","$35,500,000","$61,742,457","$97,242,457"
"John Wall","PG","WAS                  WAS","28","2019","2022","4","$171,131,520","$42,782,880","$77,066,483","$121,377,323"
"James Harden","SG","HOU                  HOU","29","2019","2022","4","$171,131,520","$42,782,880","$70,002,284","$85,027,224"
"Kevin Durant","SF","GSW                  GSW","30","2019","2022","4","$164,255,700","$41,063,925","$76,970,513","$118,989,413"
"Kristaps Porzingis","PF","DAL                  DAL","23","2019","2023","5","$158,253,000","$31,650,600","$55,047,488","$65,779,588"
"Karl-Anthony Towns","C","MIN                  MIN","23","2019","2023","5","$158,253,000","$31,650,600","$55,047,488","$86,698,088"
"Devin Booker","SG","PHX                  PHX","22","2019","2023","5","$158,253,000","$31,650,600","$55,047,488","$86,698,088"
"Jimmy Butler","SF","PHI                  PHI","29","2019","2022","4","$140,790,600","$35,197,650","$65,074,725","$101,090,925"
"Kemba Walker","PG","CHA                  CHA","28","2019","2023","4","$140,790,600","$35,197,650","$65,074,725","$101,090,925"
"Kyrie Irving","PG","BKN                  BKN","26","2019","2022","4","$136,490,600","$34,122,650","$63,480,975","$98,809,675"
"Kevin Love","C","CLE                  CLE","30","2019","2022","4","$120,402,172","$30,100,543","$58,392,159","$89,650,415"
"D'Angelo Russell","PG","BKN                  BKN","22","2019","2022","4","$117,325,500","$29,331,375","$37,734,616","$67,748,116"
"Al Horford","C","PHI                  PHI","32","2019","2022","4","$109,000,000","$27,250,000","$53,750,000","$80,750,000"
"Kawhi Leonard","SF","LAC                  LAC","27","2019","2021","3","$103,137,300","$34,379,100","$65,074,725","$101,090,925"
"Nikola Vucevic","C","ORL                  ORL","28","2019","2022","4","$100,000,000","$25,000,000","$35,688,356","$59,688,356"
"Malcolm Brogdon","PG","IND                  IND","26","2019","2022","4","$85,000,000","$21,250,000","$39,450,000","$61,150,000"
"Harrison Barnes","PF","SAC                  SAC","26","2019","2022","4","$85,000,000","$21,250,000","$44,854,403","$65,138,494"
"Myles Turner","C","IND                  IND","22","2019","2022","4","$80,000,000","$20,000,000","$35,375,000","$53,375,000"
"Bojan Bogdanovic","SF","UTA                  UTA","29","2019","2022","4","$73,100,000","$18,275,000","$33,787,500","$52,487,500"
"Eric Bledsoe","PG","MIL                  MIL","29","2019","2022","4","$70,000,000","$17,500,000","$31,523,438","$38,294,271"
"Julius Randle","PF","NYK                  NYK","24","2019","2021","3","$62,100,000","$20,700,000","$37,665,000","$57,465,000"
"Terry Rozier","PG","CHA                  CHA","24","2019","2021","3","$56,700,000","$18,900,000","$37,551,316","$55,456,579"
"Terrence Ross","SF","ORL                  ORL","27","2019","2022","4","$54,000,000","$13,500,000","$25,218,750","$37,718,750"
"Brook Lopez","C","MIL                  MIL","30","2019","2022","4","$52,000,000","$13,000,000","$24,034,885","$37,337,210"
"Ricky Rubio","PG","PHX                  PHX","28","2019","2021","3","$51,000,000","$17,000,000","$32,187,500","$38,632,328"
"LaMarcus Aldridge","PF","SAS                  SAS","33","2019","2020","2","$50,000,000","$25,000,000","$48,375,000","$48,375,000"
"Jonas Valanciunas","C","MEM                  MEM","26","2019","2021","3","$45,000,000","$15,000,000","$30,000,000","$44,000,000"
"Larry Nance Jr.","PF","CLE                  CLE","25","2019","2022","4","$44,800,000","$11,200,000","$23,640,909","$27,388,871"
"Zion Williamson","PF","NOP                  NOP","18","2019","2022","4","$44,271,137","$11,067,784","$19,393,080","$30,126,480"
"Thaddeus Young","PF","CHI                  CHI","30","2019","2021","3","$43,635,000","$14,545,000","$25,638,750","$30,450,302"
"Patrick Beverley","PG","LAC                  LAC","30","2019","2021","3","$40,000,000","$13,333,333","$24,907,408","$39,228,395"
"Dewayne Dedmon","C","SAC                  SAC","29","2019","2021","3","$40,000,000","$13,333,333","$17,773,070","$31,106,403"
"DeAndre Jordan","C","BKN                  BKN","30","2019","2022","4","$39,960,716","$9,990,179","$19,639,676","$29,521,274"
"Ja Morant","PG","MEM                  MEM","19","2019","2022","4","$39,619,840","$9,904,960","$17,897,040","$27,500,400"
"Cory Joseph","PG","SAC                  SAC","27","2019","2021","3","$37,200,000","$12,400,000","$15,823,973","$28,423,973"
"Maxi Kleber","PF","DAL                  DAL","26","2019","2022","4","$35,600,000","$8,900,000","$16,550,000","$25,300,000"
"R.J. Barrett","SG","NYK                  NYK","18","2019","2022","4","$35,596,275","$8,899,069","$16,071,720","$24,695,640"
"Spencer Dinwiddie","PG","BKN                  BKN","25","2019","2021","3","$34,362,144","$11,454,048","$21,396,798","$33,699,294"
"De'Andre Hunter","SF","ATL                  ATL","21","2019","2022","4","$32,101,641","$8,025,410","$14,048,588","$21,823,988"
"Seth Curry","SG","DAL                  DAL","28","2019","2022","4","$32,000,000","$8,000,000","$14,829,493","$17,612,502"
"Rudy Gay","PF","SAS                  SAS","32","2019","2020","2","$32,000,000","$16,000,000","$28,593,750","$28,593,750"
"Jeremy Lamb","SG","IND                  IND","26","2019","2021","3","$31,500,000","$10,500,000","$20,343,750","$24,024,784"
"Kelly Oubre Jr.","SF","PHX                  PHX","23","2019","2020","2","$30,000,000","$15,000,000","$29,023,438","$29,023,438"
"Danny Green","SF","LAL                  LAL","31","2019","2020","2","$30,000,000","$15,000,000","$29,085,366","$29,085,366"
"Tomas Satoransky","SG","WAS                  WAS","27","2019","2021","3","$30,000,000","$10,000,000","$19,375,000","$22,880,747"
"Al-Farouq Aminu","PF","ORL                  ORL","28","2019","2021","3","$29,162,700","$9,720,900","$12,208,195","$22,391,995"
"Darius Garland","PG","CLE                  CLE","18","2019","2022","4","$29,083,315","$7,270,829","$13,121,640","$20,162,520"
"George Hill","PG","MIL                  MIL","32","2019","2021","3","$28,771,806","$9,590,602","$12,044,558","$22,091,855"
"Delon Wright","PG","MEM                  MEM","26","2019","2021","3","$28,050,000","$9,350,000","$12,148,702","$20,675,018"
"J.J. Redick","SG","NOP                  NOP","34","2019","2020","2","$26,500,000","$13,250,000","$17,367,557","$17,367,557"
"Tyus Jones","PG","MEM                  MEM","22","2019","2021","3","$26,445,300","$8,815,100","$17,496,518","$25,872,804"
"Jarrett Culver","SG","MIN                  MIN","19","2019","2022","4","$26,422,143","$6,605,536","$11,917,920","$18,313,080"
"Justise Winslow","SF","MIA                  MIA","22","2019","2020","2","$26,000,000","$13,000,000","$17,328,743","$30,328,743"
"Thomas Bryant","C","WAS                  WAS","21","2019","2021","3","$25,000,000","$8,333,333","$15,833,333","$24,500,000"
"Trevor Ariza","SF","SAC                  SAC","33","2019","2020","2","$25,000,000","$12,500,000","$10,425,458","$10,425,458"
"Coby White","PG","CHI                  CHI","18","2019","2022","4","$24,131,515","$6,032,879","$10,548,105","$16,385,865"
"Jaxson Hayes","C","NOP                  NOP","18","2019","2022","4","$22,118,492","$5,529,623","$9,967,200","$15,315,480"
"Ivica Zubac","C","LAC                  LAC","21","2019","2021","3","$21,000,000","$7,000,000","$13,076,389","$20,594,907"
"DeMarre Carroll","SF","BKN                  BKN","32","2019","2021","3","$20,650,000","$6,883,333","$13,650,000","$20,650,000"
"Rui Hachimura","PF","WAS                  WAS","20","2019","2022","4","$20,341,348","$5,085,337","$8,882,678","$13,798,838"
"Nene Hilario","C","HOU                  HOU","36","2019","2020","2","$20,000,000","$10,000,000","$18,464,046","$18,464,046"
"Taj Gibson","C","NYK                  NYK","33","2019","2020","2","$20,000,000","$10,000,000","$17,887,500","$17,887,500"
"Cam Reddish","SF","ATL                  ATL","19","2019","2022","4","$19,328,334","$4,832,084","$8,703,720","$11,038,800"
"Cameron Johnson","SF","PHX                  PHX","22","2019","2022","4","$18,593,499","$4,648,375","$8,016,510","$12,453,510"
