"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Carmelo Anthony","PF","NYK                  NYK","29","2014","2018","5","$124,064,681","$24,812,936","$45,333,401","$69,892,781"
"Chris Bosh","PF","MIA                  MIA","29","2014","2018","5","$118,705,300","$23,741,060","$42,837,130","$66,578,190"
"Paul George","SG","IND                  IND","23","2014","2018","5","$91,572,660","$18,314,532","$33,045,786","$51,360,318"
"John Wall","PG","WAS                  WAS","23","2014","2018","5","$84,789,500","$16,957,900","$30,597,950","$47,555,850"
"Eric Bledsoe","PG","PHX                  PHX","24","2014","2018","5","$70,000,000","$14,000,000","$26,500,000","$40,500,000"
"DeMarcus Cousins","C","SAC                  SAC","23","2014","2017","4","$65,619,700","$16,404,925","$30,597,950","$36,383,586"
"Gordon Hayward","SF","UTA                  UTA","23","2014","2017","4","$62,965,420","$15,741,355","$30,155,570","$46,228,710"
"Marcin Gortat","C","WAS                  WAS","29","2014","2018","5","$60,000,000","$12,000,000","$21,652,173","$33,652,173"
"Kobe Bryant","SF","LAL                  LAL","35","2014","2015","2","$48,500,000","$24,250,000","$48,500,000","$48,500,000"
"Kyle Lowry","PG","TOR                  TOR","27","2014","2017","4","$48,000,000","$12,000,000","$24,000,000","$36,000,000"
"Derrick Favors","C","UTA                  UTA","22","2014","2017","4","$46,950,000","$11,737,500","$24,950,000","$36,000,000"
"Chandler Parsons","SF","DAL                  DAL","25","2014","2016","3","$46,084,500","$15,361,500","$30,061,500","$46,084,500"
"Larry Sanders","C","MIL                  MIL","25","2014","2017","4","$44,000,000","$11,000,000","$22,000,000","$33,000,000"
"LeBron James","PF","CLE                  CLE","29","2014","2014","2","$42,217,798","$21,108,899","$42,217,798","$42,217,798"
"Andrew Bogut","C","GSW                  GSW","29","2014","2016","3","$36,000,000","$12,000,000","$26,772,973","$29,951,351"
"Trevor Ariza","SF","WAS                  WAS","28","2014","2017","4","$32,000,002","$8,000,001","$16,772,119","$24,579,090"
"Avery Bradley","PG","BOS                  BOS","23","2014","2017","4","$32,000,000","$8,000,000","$14,921,348","$23,191,011"
"Channing Frye","PF","ORL                  ORL","30","2014","2017","4","$32,000,000","$8,000,000","$11,229,774","$19,036,745"
"Dwyane Wade","SG","MIA                  MIA","31","2014","2015","2","$31,125,000","$15,562,500","$31,125,000","$31,125,000"
"Boris Diaw","C","SAS                  SAS","31","2014","2017","4","$28,000,000","$7,000,000","$15,500,000","$22,500,000"
"Isaiah Thomas","PG","SAC                  SAC","24","2014","2017","4","$27,000,002","$6,750,001","$14,151,475","$20,738,607"
"Dirk Nowitzki","PF","DAL                  DAL","35","2014","2016","3","$25,000,000","$8,333,333","$16,307,816","$25,000,000"
"Andrew Wiggins","SF","CLE                  CLE","18","2014","2017","4","$24,850,243","$6,212,561","$11,269,320","$17,275,920"
"Josh McRoberts","PF","MIA                  MIA","26","2014","2017","4","$22,652,350","$5,663,088","$10,848,725","$16,631,175"
"Spencer Hawes","PF","LAC                  LAC","25","2014","2017","4","$22,652,350","$5,663,088","$10,848,725","$14,148,123"
"Pau Gasol","C","CHI                  CHI","33","2014","2016","3","$22,346,280","$7,448,760","$14,576,760","$22,346,280"
"Jabari Parker","PF","MIL                  MIL","18","2014","2016","3","$22,239,712","$7,413,237","$10,083,000","$15,457,320"
"Nick Young","SG","LAL                  LAL","28","2014","2017","4","$21,326,174","$5,331,544","$10,213,589","$15,657,507"
"Joel Embiid","C","PHI                  PHI","19","2014","2017","4","$19,981,026","$4,995,257","$9,054,600","$13,880,760"
"Luol Deng","SF","MIA                  MIA","28","2014","2015","2","$19,866,073","$9,933,037","$19,866,073","$19,866,073"
"Jodie Meeks","SG","DET                  DET","26","2014","2016","3","$18,810,000","$6,270,000","$12,270,000","$18,810,000"
"Patrick Patterson","PF","TOR                  TOR","24","2014","2016","3","$18,150,001","$6,050,000","$12,100,001","$18,150,001"
"Aaron Gordon","PF","ORL                  ORL","18","2014","2017","4","$18,019,460","$4,504,865","$8,163,720","$12,515,040"
"Lance Stephenson","SG","IND                  IND","23","2014","2015","2","$18,000,000","$9,000,000","$11,911,765","$21,316,765"
"C.J. Miles","SF","IND                  IND","26","2014","2017","4","$17,955,350","$4,488,838","$8,599,225","$13,182,675"
"Shaun Livingston","PG","GSW                  GSW","28","2014","2016","3","$16,631,175","$5,543,725","$10,848,725","$16,631,175"
"Nikola Mirotic","PF","CHI                  CHI","22","2014","2016","3","$16,631,175","$5,543,725","$10,848,725","$16,631,175"
"Devin Harris","PG","DAL                  DAL","30","2014","2017","4","$16,562,884","$4,140,721","$7,932,342","$12,160,338"
"P.J. Tucker","PF","PHX                  PHX","28","2014","2016","3","$16,500,000","$5,500,000","$11,200,000","$12,727,647"
"Dante Exum","PG","UTA                  UTA","18","2014","2017","4","$16,325,425","$4,081,356","$7,392,720","$11,333,040"
"Darren Collison","PG","SAC                  SAC","26","2014","2016","3","$15,040,677","$5,013,559","$9,811,223","$15,040,677"
"Marcus Smart","PG","BOS                  BOS","19","2014","2017","4","$14,831,260","$3,707,815","$6,714,360","$10,293,240"
"Marvin Williams","PF","CHA                  CHA","27","2014","2015","2","$14,000,000","$7,000,000","$14,000,000","$14,000,000"
"Quincy Pondexter","SG","MEM                  MEM","25","2014","2017","4","$14,000,000","$3,500,000","$6,528,091","$10,146,069"
"Carlos Boozer","PF","CHI                  CHI","32","2014","2014","1","$13,549,000","$13,549,000","$13,549,000","$13,549,000"
"Julius Randle","PF","LAL                  LAL","19","2014","2017","4","$13,545,962","$3,386,491","$6,129,600","$9,396,720"
"Kris Humphries","PF","BOS                  BOS","28","2014","2016","3","$13,320,000","$4,440,000","$8,690,000","$13,320,000"
"Greivis Vasquez","PG","TOR                  TOR","26","2014","2015","2","$13,000,000","$6,500,000","$13,000,000","$13,000,000"
"Patty Mills","PG","SAS                  SAS","25","2014","2016","3","$13,000,000","$4,333,333","$7,421,052","$11,000,000"
"Nik Stauskas","SG","SAC                  SAC","20","2014","2017","4","$12,415,467","$3,103,867","$5,615,280","$8,608,320"
"Vince Carter","SG","MEM                  MEM","36","2014","2016","3","$12,264,057","$4,088,019","$8,000,000","$12,264,057"
"Thabo Sefolosha","SF","OKC                  OKC","29","2014","2016","3","$12,000,000","$4,000,000","$8,150,000","$12,000,000"
"Furkan Aldemir","PF","PHI                  PHI","22","2014","2017","4","$11,420,610","$2,855,153","$5,800,000","$8,610,305"
"Noah Vonleh","PF","CHA                  CHA","18","2014","2017","4","$11,418,513","$2,854,628","$5,161,920","$7,913,280"
"Elfrid Payton","PG","ORL                  ORL","19","2014","2017","4","$10,849,500","$2,712,375","$4,903,560","$7,517,160"
"Paul Pierce","SF","WAS                  WAS","36","2014","2015","2","$10,848,725","$5,424,363","$10,848,725","$10,848,725"
"Doug McDermott","SF","CHI                  CHI","21","2014","2017","4","$10,436,434","$2,609,109","$4,658,400","$5,374,100"
"Chris Andersen","PF","MIA                  MIA","35","2014","2015","2","$10,375,000","$5,187,500","$7,051,471","$7,051,471"
"Bojan Bogdanovic","SF","BKN                  BKN","24","2014","2016","3","$10,276,530","$3,425,510","$6,703,510","$7,912,031"
"Anthony Morrow","SG","OKC                  OKC","28","2014","2016","3","$10,032,000","$3,344,000","$6,544,000","$7,549,365"
"Mike Scott","PF","ATL                  ATL","25","2014","2016","3","$10,000,000","$3,333,333","$6,666,666","$7,627,451"
"Chris Kaman","C","POR                  POR","31","2014","2015","2","$9,816,000","$4,908,000","$9,816,000","$9,816,000"
"Trevor Booker","PF","UTA                  UTA","26","2014","2015","2","$9,775,000","$4,887,500","$9,775,000","$9,775,000"
"Zach LaVine","SG","MIN                  MIN","18","2014","2017","4","$9,647,298","$2,411,825","$4,204,200","$6,445,080"
"Kostas Papanikolaou","SF","HOU                  HOU","23","2014","2014","2","$9,595,328","$4,797,664","$9,595,328","$9,595,328"
"T.J. Warren","SF","PHX                  PHX","20","2014","2017","4","$9,276,051","$2,319,013","$3,994,200","$6,123,120"
"Caron Butler","SF","DET                  DET","33","2014","2015","2","$9,000,000","$4,500,000","$9,000,000","$9,000,000"
"Jordan Hill","C","LAL                  LAL","26","2014","2014","1","$9,000,000","$9,000,000","$18,000,000","$18,000,000"
"Ben Gordon","SG","ORL                  ORL","30","2014","2014","2","$9,000,000","$4,500,000","$9,000,000","$9,000,000"
"Lucas Nogueira","C","TOR                  TOR","21","2014","2017","4","$8,473,305","$2,118,326","$3,604,680","$5,526,000"
"Jusuf Nurkic","C","DEN                  DEN","19","2014","2016","4","$8,473,305","$2,118,326","$3,604,680","$4,271,491"
"Mario Chalmers","PG","MIA                  MIA","27","2014","2015","2","$8,300,000","$4,150,000","$7,920,588","$7,920,588"
"Gary Harris","SG","DEN                  DEN","19","2014","2017","4","$7,312,615","$1,828,154","$3,106,680","$4,762,560"
"Shelvin Mack","PG","ATL                  ATL","23","2014","2016","3","$7,300,000","$2,433,333","$3,220,588","$5,653,922"
"Bruno Caboclo","SF","TOR                  TOR","18","2014","2017","4","$7,023,225","$1,755,806","$2,982,360","$4,572,000"
"Evan Turner","SF","BOS                  BOS","25","2014","2015","2","$6,703,510","$3,351,755","$6,703,510","$6,703,510"
"Rodney Hood","SF","UTA                  UTA","21","2014","2017","4","$6,432,184","$1,608,046","$2,638,800","$4,045,320"
"Shabazz Napier","PG","MIA                  MIA","22","2014","2016","4","$6,244,560","$1,561,140","$2,317,340","$3,667,460"
"Clint Capela","C","HOU                  HOU","19","2014","2017","4","$6,062,688","$1,515,672","$2,431,920","$3,728,160"
"Jerryd Bayless","PG","MIL                  MIL","25","2014","2015","2","$6,000,000","$3,000,000","$6,000,000","$6,000,000"
"Anthony Tolliver","PF","PHX                  PHX","28","2014","2015","2","$6,000,000","$3,000,000","$6,000,000","$6,000,000"
"DeJaun Blair","C","DAL                  DAL","24","2014","2016","3","$6,000,000","$2,000,000","$2,647,059","$4,647,059"
"D.J. Augustin","PG","CHI                  CHI","26","2014","2015","2","$6,000,000","$3,000,000","$3,970,588","$3,970,588"
"Adreian Payne","PF","ATL                  ATL","22","2014","2016","3","$5,816,400","$1,938,800","$3,794,160","$5,816,400"
"Mike Miller","SG","CLE                  CLE","33","2014","2015","2","$5,586,940","$2,793,470","$6,015,181","$6,015,181"
"Jameer Nelson","PG","DAL                  DAL","31","2014","2014","2","$5,586,940","$2,793,470","$5,586,940","$5,586,940"
"Kirk Hinrich","SG","CHI                  CHI","32","2014","2015","2","$5,586,940","$2,793,470","$5,728,008","$5,728,008"
"Udonis Haslem","PF","MIA                  MIA","33","2014","2015","2","$5,586,940","$2,793,470","$5,586,940","$5,586,940"
"Brian Roberts","PG","CHA                  CHA","28","2014","2015","2","$5,586,940","$2,793,470","$3,655,657","$3,655,657"
"Luke Ridnour","PG","ORL                  ORL","32","2014","2014","2","$5,500,000","$2,750,000","$5,500,000","$5,500,000"
"Greg Monroe","C","DET                  DET","23","2014","2014","1","$5,479,933","$5,479,933","$5,479,933","$5,479,933"
"James Young","SG","BOS                  BOS","18","2014","2016","3","$5,249,520","$1,749,840","$3,424,320","$5,249,520"
"Joffrey Lauvergne","PF","DEN                  DEN","22","2014","2016","3","$5,209,719","$1,736,573","$3,500,000","$3,992,801"
"James Johnson","PF","TOR                  TOR","26","2014","2015","2","$5,000,000","$2,500,000","$5,000,000","$5,000,000"
"Tyler Ennis","PG","PHX                  PHX","19","2014","2016","3","$4,986,960","$1,662,320","$3,253,080","$4,986,960"
"Robert Covington","PF","PHI                  PHI","23","2014","2017","4","$4,592,926","$1,148,232","$2,000,000","$3,015,696"
"Mitch McGary","PF","OKC                  OKC","21","2014","2016","3","$4,389,120","$1,463,040","$2,863,080","$4,389,120"
"Malcolm Thomas","PF","PHI                  PHI","25","2014","2014","4","$4,372,948","$1,093,237","$1,963,584","$3,102,707"
"Ramon Sessions","PG","SAC                  SAC","27","2014","2015","2","$4,247,465","$2,123,733","$4,247,465","$4,247,465"
"Danny Granger","SF","MIA                  MIA","30","2014","2015","2","$4,247,465","$2,123,733","$4,247,465","$4,247,465"
"Beno Udrih","PG","MEM                  MEM","31","2014","2015","2","$4,247,465","$2,123,733","$4,247,465","$4,247,465"
"Steve Blake","PG","POR                  POR","33","2014","2015","2","$4,247,465","$2,123,733","$4,247,465","$4,247,465"
