"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Shai Gilgeous-Alexander","PG","OKC                  OKC","26","2027","2030","4","$273,302,400","$68,325,600","$126,890,400","$197,656,200"
"Jalen Williams","SF","OKC                  OKC","24","2026","2030","5","$240,700,000","$48,140,000","$86,320,000","$134,460,000"
"Chet Holmgren","C","OKC                  OKC","23","2026","2030","5","$240,700,000","$48,140,000","$86,320,000","$134,460,000"
"Paolo Banchero","PF","ORL                  ORL","22","2026","2030","5","$240,700,000","$48,140,000","$86,320,000","$134,460,000"
"De'Aaron Fox","PG","SAS                  SAS","27","2026","2029","4","$223,104,000","$55,776,000","$103,584,000","$161,352,000"
"Jaren Jackson Jr.","PF","MEM                  MEM","25","2026","2029","5","$205,000,000","$41,000,000","$99,500,000","$151,500,000"
"Joel Embiid","C","PHI                  PHI","30","2026","2028","3","$188,244,000","$62,748,000","$120,848,000","$188,244,000"
"Luka Doncic","PG","LAL                  LAL","26","2026","2028","3","$161,352,000","$53,784,000","$103,584,000","$161,352,000"
"Bam Adebayo","C","MIA                  MIA","26","2026","2028","3","$161,352,000","$53,784,000","$103,584,000","$161,352,000"
"Mikal Bridges","SF","NYK                  NYK","28","2026","2029","4","$150,000,000","$37,500,000","$69,642,859","$108,482,144"
"Keegan Murray","PF","SAC                  SAC","25","2026","2030","5","$140,000,000","$28,000,000","$50,206,901","$78,206,900"
"Devin Booker","SG","PHX                  PHX","28","2028","2029","2","$133,257,178","$66,628,589","$133,257,178","$133,257,178"
"Christian Braun","SG","DEN                  DEN","24","2026","2030","5","$125,000,000","$25,000,000","$44,827,589","$69,827,589"
"Jabari Smith Jr.","PF","HOU                  HOU","22","2026","2030","5","$122,000,000","$24,400,000","$45,395,351","$69,038,762"
"Aaron Gordon","PF","DEN                  DEN","29","2026","2028","3","$103,608,840","$34,536,280","$66,514,317","$103,608,840"
"Dyson Daniels","PG","ATL                  ATL","22","2026","2029","4","$100,000,000","$25,000,000","$50,000,000","$75,000,000"
"Jarrett Allen","C","CLE                  CLE","26","2026","2028","3","$90,720,000","$30,240,000","$58,240,000","$90,720,000"
"Shaedon Sharpe","SG","POR                  POR","22","2026","2029","4","$90,000,000","$22,500,000","$41,785,716","$65,089,287"
"Kevin Durant","SF","HOU                  HOU","37","2026","2027","2","$90,000,000","$45,000,000","$90,000,000","$90,000,000"
"PJ Washington","PF","DAL                  DAL","27","2026","2029","4","$88,762,439","$22,190,610","$41,211,131","$64,194,263"
"Jakob Poeltl","C","TOR                  TOR","29","2027","2029","3","$84,084,000","$28,028,000","$56,784,000","$84,084,000"
"Toumani Camara","PF","POR                  POR","25","2026","2029","4","$81,000,000","$20,250,000","$37,607,144","$58,580,358"
"Herb Jones","SF","NOP                  NOP","26","2027","2029","3","$67,580,892","$22,526,964","$43,385,264","$67,580,892"
"Stephen Curry","PG","GSW                  GSW","36","2026","2026","1","$62,587,158","$62,587,158","$62,587,158","$62,587,158"
"Nikola Jovic","SF","MIA                  MIA","18","2026","2029","4","$62,400,000","$15,600,000","$31,104,000","$46,200,000"
"Wendell Carter Jr.","C","ORL                  ORL","25","2026","2028","3","$58,650,480","$19,550,160","$37,652,160","$58,650,480"
"Daniel Gafford","C","DAL                  DAL","26","2026","2028","3","$54,380,290","$18,126,763","$35,390,347","$54,380,289"
"AJ Green","SG","MIL                  MIL","26","2026","2029","4","$45,000,000","$11,250,000","$20,892,859","$32,544,645"
"Aaron Nesmith","SF","IND                  IND","26","2027","2028","2","$40,389,440","$20,194,720","$40,389,440","$40,389,440"

