"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Deron Williams","PG","BKN                  BKN","27","2012","2016","5","$98,772,325","$19,754,465","$35,643,925","$55,398,390"
"Derrick Rose","PG","CHI                  CHI","23","2012","2016","5","$94,314,380","$18,862,876","$34,035,188","$52,898,064"
"Russell Westbrook","PG","OKC                  OKC","23","2012","2016","5","$78,595,310","$15,719,062","$28,362,656","$44,081,718"
"Carmelo Anthony","PF","NYK                  NYK","27","2012","2013","3","$64,166,861","$21,388,954","$40,833,457","$64,166,861"
"Brook Lopez","C","BKN                  BKN","23","2012","2014","4","$60,825,938","$15,206,485","$28,362,656","$44,081,719"
"Kevin Love","C","MIN                  MIN","23","2012","2014","4","$60,825,938","$15,206,485","$28,362,656","$44,081,719"
"Roy Hibbert","C","IND                  IND","25","2012","2015","4","$58,443,748","$14,610,937","$27,952,594","$42,851,532"
"Eric Gordon","SG","NOH                  NOH","23","2012","2015","4","$58,365,563","$14,591,391","$27,952,594","$42,851,532"
"Nicolas Batum","SF","POR                  POR","23","2012","2015","4","$46,121,500","$11,530,375","$22,120,250","$34,775,307"
"JaVale McGee","C","DEN                  DEN","23","2012","2015","4","$44,000,000","$11,000,000","$20,750,000","$32,000,000"
"Danilo Gallinari","PF","DEN                  DEN","23","2012","2015","4","$42,000,000","$10,500,000","$19,585,925","$30,440,775"
"Gerald Wallace","SF","BKN                  BKN","29","2012","2015","4","$40,000,030","$10,000,008","$19,788,320","$29,894,175"
"George Hill","PG","IND                  IND","25","2012","2016","5","$40,000,000","$8,000,000","$16,000,000","$24,000,000"
"Ersan Ilyasova","PF","MIL                  MIL","24","2012","2016","5","$40,000,000","$8,000,000","$15,800,000","$23,700,000"
"Kevin Garnett","PF","BOS                  BOS","35","2012","2014","3","$36,000,000","$12,000,000","$24,000,000","$36,000,000"
"Jeff Green","PF","BOS                  BOS","25","2012","2015","4","$35,200,000","$8,800,000","$16,800,000","$26,000,000"
"Ryan Anderson","PF","NOH                  NOH","23","2012","2015","4","$34,000,000","$8,500,000","$17,008,500","$25,500,000"
"Tim Duncan","PF","SAS                  SAS","35","2012","2014","3","$30,361,446","$10,120,482","$20,000,000","$30,361,446"
"Jason Thompson","PF","SAC                  SAC","25","2012","2016","5","$30,187,500","$6,037,500","$10,893,750","$16,931,250"
