"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Joe Johnson","SG","ATL                  ATL","28","2010","2015","6","$123,658,089","$20,609,682","$30,843,351","$50,595,996"
"Chris Bosh","PF","TOR                  TOR","25","2010","2013","6","$109,837,500","$18,306,250","$27,396,159","$44,941,159"
"LeBron James","PF","CLE                  CLE","25","2010","2013","6","$109,837,500","$18,306,250","$27,396,159","$44,941,159"
"Dwyane Wade","SG","MIA                  MIA","27","2010","2015","6","$107,186,000","$17,864,333","$26,485,268","$43,667,268"
"Amar'e Stoudemire","PF","PHX                  PHX","27","2010","2014","5","$99,743,996","$19,948,799","$31,149,642","$51,098,441"
"Rudy Gay","PF","MEM                  MEM","23","2010","2014","5","$82,302,690","$16,460,538","$25,702,793","$42,163,331"
"Dirk Nowitzki","PF","DAL                  DAL","31","2010","2013","4","$80,000,000","$20,000,000","$32,646,052","$53,553,180"
"David Lee","PF","NYK                  NYK","26","2010","2015","6","$79,537,680","$13,256,280","$20,144,634","$32,888,634"
"Carlos Boozer","PF","CHI                  CHI","28","2010","2013","5","$75,000,000","$15,000,000","$25,265,854","$40,265,854"
"LaMarcus Aldridge","PF","POR                  POR","24","2010","2014","5","$65,000,000","$13,000,000","$21,201,951","$34,701,951"
"Paul Pierce","SF","BOS                  BOS","32","2010","2013","4","$61,333,334","$15,333,334","$26,217,785","$43,008,130"
"Rajon Rondo","PG","BOS                  BOS","23","2010","2014","5","$55,000,001","$11,000,000","$17,176,277","$28,176,277"
"Andrea Bargnani","C","TOR                  TOR","24","2010","2014","5","$50,000,000","$10,000,000","$15,945,122","$25,945,122"
"Luis Scola","PF","HOU                  HOU","29","2010","2014","5","$47,041,037","$9,408,207","$14,690,724","$24,098,931"
"Tim Duncan","PF","SAS                  SAS","33","2010","2011","2","$40,000,000","$20,000,000","$35,870,318","$35,870,318"
"Tyrus Thomas","PF","CHA                  CHA","23","2010","2014","5","$40,000,000","$8,000,000","$6,611,570","$6,611,570"
"Kendrick Perkins","C","OKC                  OKC","25","2010","2014","5","$39,252,656","$7,850,531","$12,430,370","$20,730,901"
"John Salmons","SF","MIL                  MIL","30","2010","2014","5","$39,166,000","$7,833,200","$14,841,463","$22,924,463"
"Manu Ginobili","SG","SAS                  SAS","32","2010","2012","3","$38,943,114","$12,981,038","$22,302,737","$36,410,229"
"Richard Jefferson","SF","SAS                  SAS","29","2010","2013","4","$38,892,000","$9,723,000","$15,870,878","$26,034,878"
"Richard Hamilton","SG","DET                  DET","31","2010","2010","3","$37,500,000","$12,500,000","$25,000,000","$34,000,000"
"Al Harrington","PF","DEN                  DEN","29","2010","2014","5","$33,437,000","$6,687,400","$10,776,332","$17,463,732"
"Wesley Matthews","SG","POR                  POR","23","2010","2014","5","$32,526,600","$6,505,320","$14,339,104","$19,706,424"
"Drew Gooden","PF","MIL                  MIL","28","2010","2014","5","$32,048,400","$6,409,680","$10,771,332","$17,458,732"
"Channing Frye","PF","PHX                  PHX","26","2010","2013","5","$30,000,000","$6,000,000","$9,707,317","$15,707,317"
"Amir Johnson","C","TOR                  TOR","22","2010","2014","5","$30,000,000","$6,000,000","$9,426,829","$15,426,829"
