"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Stephen Curry","PG","GSW                  GSW","28","2017","2021","5","$201,158,790","$40,231,758","$72,139,704","$112,371,462"
"Blake Griffin","C","LAC                  LAC","27","2017","2021","5","$171,174,820","$34,234,964","$43,879,179","$78,114,143"
"Gordon Hayward","SF","BOS                  BOS","26","2017","2020","4","$127,829,970","$31,957,493","$60,942,195","$91,599,092"
"Jrue Holiday","PG","NOP                  NOP","26","2017","2021","5","$126,000,000","$25,200,000","$51,662,778","$77,893,889"
"C.J. McCollum","SG","POR                  POR","25","2017","2020","4","$106,633,449","$26,658,362","$49,722,338","$75,556,987"
"Otto Porter Jr.","SF","WAS                  WAS","23","2017","2020","4","$106,524,975","$26,631,244","$34,178,687","$59,726,101"
"Rudy Gobert","C","UTA                  UTA","24","2017","2020","4","$102,000,000","$25,500,000","$45,466,292","$69,661,692"
"Kyle Lowry","PG","TOR                  TOR","30","2017","2019","3","$100,000,000","$33,333,333","$61,403,704","$94,412,732"
"Steven Adams","C","OKC                  OKC","23","2017","2020","4","$100,000,000","$25,000,000","$46,629,213","$70,856,741"
"Giannis Antetokounmpo","PF","MIL                  MIL","22","2017","2020","4","$100,000,000","$25,000,000","$46,629,213","$70,856,741"
"Paul Millsap","PF","DEN                  DEN","31","2017","2019","3","$90,000,000","$30,000,000","$60,350,000","$89,353,125"
"Victor Oladipo","SG","OKC                  OKC","24","2017","2020","4","$85,000,000","$21,250,000","$42,000,000","$61,687,500"
"Tim Hardaway Jr.","SG","NYK                  NYK","24","2017","2020","4","$70,950,000","$17,737,500","$23,351,695","$40,367,320"
"Dennis Schröder","PG","ATL                  ATL","23","2017","2020","4","$70,000,000","$17,500,000","$31,000,000","$45,531,250"
"Serge Ibaka","C","TOR                  TOR","27","2017","2019","3","$65,000,000","$21,666,667","$41,728,395","$63,545,525"
"Danilo Gallinari","PF","DEN                  DEN","28","2017","2019","3","$64,762,737","$21,587,579","$42,147,178","$63,349,265"
"Gorgui Dieng","C","MIN                  MIN","26","2017","2020","4","$62,800,000","$15,700,000","$29,283,147","$33,672,828"
"George Hill","PG","SAC                  SAC","30","2017","2019","3","$57,000,000","$19,000,000","$20,536,723","$38,536,723"
"Jeff Teague","PG","MIN                  MIN","28","2017","2019","3","$57,000,000","$19,000,000","$38,000,000","$46,580,862"
"Cody Zeller","C","CHA                  CHA","24","2017","2020","4","$56,000,000","$14,000,000","$26,112,360","$39,679,776"
"Dion Waiters","SG","MIA                  MIA","25","2017","2020","4","$52,000,000","$13,000,000","$22,550,000","$27,335,311"
"Joe Ingles","SF","UTA                  UTA","29","2017","2020","4","$52,000,000","$13,000,000","$27,181,819","$38,389,206"
"Kevin Durant","SF","GSW                  GSW","28","2017","2018","2","$51,250,000","$25,625,000","$51,250,000","$51,250,000"
