"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Mike Conley","PG","MEM                  MEM","28","2016","2020","5","$152,605,578","$30,521,116","$55,070,708","$85,591,823"
"Damian Lillard","PG","POR                  POR","25","2016","2020","5","$139,888,445","$27,977,689","$50,481,482","$78,459,171"
"DeMar DeRozan","SF","TOR                  TOR","26","2016","2020","5","$139,000,000","$27,800,000","$54,280,075","$82,020,050"
"Andre Drummond","C","DET                  DET","22","2016","2020","5","$127,171,313","$25,434,263","$45,892,256","$71,326,519"
"Bradley Beal","SG","WAS                  WAS","22","2016","2020","5","$127,171,313","$25,434,263","$45,892,256","$71,326,519"
"Anthony Davis","C","NOP                  NOP","22","2016","2020","5","$127,171,313","$25,434,263","$45,892,256","$71,326,519"
"Nicolas Batum","SF","CHA                  CHA","27","2016","2020","5","$120,000,000","$24,000,000","$43,304,348","$67,304,348"
"James Harden","SG","HOU                  HOU","26","2016","2019","4","$117,964,846","$29,491,212","$54,839,499","$85,261,353"
"Al Horford","C","BOS                  BOS","29","2016","2019","4","$113,326,228","$28,331,557","$54,274,505","$83,203,214"
"LeBron James","PF","CLE                  CLE","31","2016","2017","3","$99,857,127","$33,285,709","$64,249,159","$99,857,128"
"Hassan Whiteside","C","MIA                  MIA","26","2016","2019","4","$98,419,538","$24,604,885","$45,892,256","$71,326,519"
"Harrison Barnes","PF","DAL                  DAL","23","2016","2019","4","$94,438,525","$23,609,631","$45,228,754","$53,809,303"
"Chandler Parsons","SF","MEM                  MEM","27","2016","2019","4","$94,438,523","$23,609,631","$45,228,754","$69,336,012"
"Russell Westbrook","PG","OKC                  OKC","27","2016","2018","3","$85,591,823","$28,530,608","$55,070,708","$85,591,823"
"Evan Fournier","SG","ORL                  ORL","23","2016","2020","5","$85,000,000","$17,000,000","$34,000,000","$51,000,000"
"Ryan Anderson","PF","HOU                  HOU","27","2016","2019","4","$80,000,000","$20,000,000","$38,313,817","$45,697,879"
"Allen Crabbe","SG","POR                  POR","23","2016","2019","4","$74,832,500","$18,708,125","$37,832,500","$56,332,500"
"Joakim Noah","C","NYK                  NYK","30","2016","2019","4","$72,590,000","$18,147,500","$34,765,000","$53,295,000"
"Bismack Biyombo","C","ORL                  ORL","23","2016","2019","4","$72,000,000","$18,000,000","$34,000,000","$51,000,000"
"Luol Deng","SF","LAL                  LAL","30","2016","2019","4","$72,000,000","$18,000,000","$35,190,000","$53,190,000"
"Dwight Howard","C","ATL                  ATL","30","2016","2018","3","$70,500,000","$23,500,000","$46,680,275","$70,500,000"
"Kent Bazemore","SG","ATL                  ATL","26","2016","2019","4","$70,000,000","$17,500,000","$32,640,451","$50,730,338"
"Evan Turner","SF","POR                  POR","27","2016","2019","4","$70,000,000","$17,500,000","$33,524,591","$51,393,443"
"Ian Mahinmi","C","WAS                  WAS","29","2016","2019","4","$64,000,000","$16,000,000","$32,605,795","$48,549,949"
"Timofey Mozgov","C","LAL                  LAL","29","2016","2019","4","$64,000,000","$16,000,000","$31,280,000","$47,280,000"
"Jonas Valanciunas","C","TOR                  TOR","23","2016","2019","4","$64,000,000","$16,000,000","$29,842,696","$35,729,575"
"J.R. Smith","SG","CLE                  CLE","30","2016","2019","4","$57,000,000","$14,250,000","$26,560,000","$41,280,000"
"Marvin Williams","PF","CHA                  CHA","29","2016","2019","4","$54,512,500","$13,628,125","$25,418,750","$39,506,250"
"Kevin Durant","SF","GSW                  GSW","27","2016","2017","2","$54,274,505","$27,137,253","$54,274,505","$54,274,505"
"Eric Gordon","SG","HOU                  HOU","27","2016","2019","4","$52,886,489","$13,221,622","$25,328,384","$38,828,759"
"Michael Kidd-Gilchrist","SF","CHA                  CHA","22","2016","2019","4","$52,000,000","$13,000,000","$26,000,000","$39,000,000"
"Miles Plumlee","C","MIL                  MIL","27","2016","2019","4","$50,000,000","$12,500,000","$19,632,353","$32,132,353"
"Tyler Johnson","SG","MIA                  MIA","23","2016","2019","4","$50,000,000","$12,500,000","$11,509,260","$18,468,038"
"Jordan Clarkson","SG","LAL                  LAL","23","2016","2019","4","$50,000,000","$12,500,000","$16,615,466","$29,115,466"
"Courtney Lee","SG","NYK                  NYK","30","2016","2019","4","$48,003,340","$12,000,835","$22,989,890","$27,836,018"
"Solomon Hill","SF","NOP                  NOP","24","2016","2019","4","$48,000,000","$12,000,000","$23,477,753","$35,730,681"
"John Henson","PF","MIL                  MIL","25","2016","2019","4","$48,000,000","$12,000,000","$26,440,142","$33,953,889"
"Dwyane Wade","SG","CHI                  CHI","33","2016","2017","2","$47,000,000","$23,500,000","$47,000,000","$47,000,000"
"Maurice Harkless","SF","POR                  POR","22","2016","2019","4","$42,000,000","$10,500,000","$19,651,685","$29,988,764"
"Jamal Crawford","SG","LAC                  LAC","35","2016","2018","3","$42,000,000","$14,000,000","$27,500,000","$42,000,000"
"Jon Leuer","PF","DET                  DET","26","2016","2019","4","$42,000,000","$10,500,000","$21,489,276","$31,491,957"
"Meyers Leonard","C","POR                  POR","23","2016","2019","4","$41,000,000","$10,250,000","$19,117,977","$29,713,483"
"Matthew Dellavedova","PG","MIL                  MIL","25","2016","2019","4","$38,430,000","$9,607,500","$19,215,000","$25,999,958"
"Jeremy Lin","PG","BKN                  BKN","27","2016","2018","3","$38,300,000","$12,766,667","$23,483,254","$37,251,675"
