"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Anthony Davis","C","LAL                  LAL","27","2020","2024","5","$189,903,600","$37,980,720","$68,103,360","$106,084,080"
"Ben Simmons","PG","PHI                  PHI","23","2020","2024","5","$177,243,360","$35,448,672","$41,750,190","$77,198,862"
"Brandon Ingram","SF","NOP                  NOP","23","2020","2024","5","$158,253,000","$31,650,600","$56,752,800","$88,403,400"
"Jamal Murray","PG","DEN                  DEN","22","2020","2024","5","$158,253,000","$31,650,600","$56,752,800","$88,403,400"
"Pascal Siakam","PF","TOR                  TOR","25","2020","2023","4","$136,905,216","$34,226,304","$63,563,136","$99,011,808"
"Gordon Hayward","SF","CHA                  CHA","30","2020","2023","4","$120,000,000","$30,000,000","$58,425,000","$88,500,000"
"Jaylen Brown","SF","BOS                  BOS","23","2020","2023","4","$106,333,334","$26,583,334","$50,196,429","$79,973,214"
"Draymond Green","PF","GSW                  GSW","29","2020","2023","4","$99,666,362","$24,916,591","$46,273,668","$72,080,137"
"Buddy Hield","SG","SAC                  SAC","27","2020","2023","4","$94,000,000","$23,500,000","$33,447,776","$54,625,526"
"Fred VanVleet","PG","TOR                  TOR","26","2020","2023","4","$85,000,000","$21,250,000","$40,925,926","$62,175,926"
"Davis Bertans","PF","WAS                  WAS","28","2020","2024","5","$80,000,000","$16,000,000","$20,425,287","$36,425,287"
"Eric Gordon","SG","HOU                  HOU","31","2020","2023","4","$75,574,356","$18,893,589","$35,088,094","$41,723,343"
"Joe Harris","SG","BKN                  BKN","29","2020","2023","4","$75,000,000","$18,750,000","$33,428,572","$52,071,429"
"Domantas Sabonis","PF","IND                  IND","27","2020","2023","4","$74,900,000","$18,725,000","$38,300,000","$59,400,000"
"Bogdan Bogdanovic","SG","ATL                  ATL","28","2020","2023","4","$72,000,000","$18,000,000","$36,000,000","$54,000,000"
"Marcus Morris Sr.","SF","LAC                  LAC","31","2020","2023","4","$64,000,000","$16,000,000","$30,511,628","$46,883,721"
"Dejounte Murray","PG","SAS                  SAS","23","2020","2023","4","$64,000,000","$16,000,000","$29,714,880","$46,786,000"
"Danilo Gallinari","PF","ATL                  ATL","32","2020","2022","3","$61,425,000","$20,475,000","$39,975,000","$61,425,000"
"Jerami Grant","PF","DET                  DET","25","2020","2022","3","$60,007,500","$20,002,500","$39,052,500","$60,007,500"
"Malik Beasley","SG","MIN                  MIN","24","2020","2023","4","$60,000,000","$15,000,000","$28,017,859","$33,259,377"
"Caris LeVert","SG","BKN                  BKN","25","2020","2022","3","$52,500,000","$17,500,000","$19,765,304","$38,561,600"
"Jordan Clarkson","SG","UTA                  UTA","31","2020","2023","4","$51,520,000","$12,880,000","$23,920,000","$37,260,000"
"Anthony Edwards","SG","MIN                  MIN","19","2020","2023","4","$44,271,137","$11,067,784","$20,002,920","$30,736,320"
"Christian Wood","C","HOU                  HOU","25","2020","2022","3","$41,000,000","$13,666,667","$26,682,541","$41,000,000"
"James Wiseman","C","GSW                  GSW","19","2020","2023","4","$39,619,840","$9,904,960","$17,897,040","$21,153,352"
"Kentavious Caldwell-Pope","SG","LAL                  LAL","27","2020","2022","3","$39,116,585","$13,038,862","$25,111,882","$39,116,585"
"Royce O'Neale","SF","UTA                  UTA","26","2020","2023","4","$36,000,000","$9,000,000","$17,300,000","$26,500,000"
"LaMelo Ball","PG","CHA                  CHA","19","2020","2023","4","$35,596,275","$8,899,069","$16,071,720","$24,695,640"
"Dillon Brooks","SF","MEM                  MEM","23","2020","2022","3","$35,000,000","$11,666,667","$23,600,000","$35,000,000"
"De'Anthony Melton","SG","MEM                  MEM","22","2020","2023","4","$34,627,688","$8,656,922","$18,377,688","$26,627,688"
"Dwight Powell","C","DAL                  DAL","28","2020","2022","3","$33,240,375","$11,080,125","$22,160,250","$33,240,375"
"Patrick Williams","PF","CHI                  CHI","18","2020","2023","4","$32,101,641","$8,025,410","$14,490,360","$22,265,760"
"Cedi Osman","SF","CLE                  CLE","24","2020","2023","4","$31,118,844","$7,779,711","$16,973,914","$24,400,002"
"Kyle Lowry","PG","TOR                  TOR","33","2020","2020","1","$30,500,000","$30,500,000","$30,000,000","$30,000,000"
"Andre Iguodala","SF","MEM                  MEM","35","2020","2021","2","$30,000,000","$15,000,000","$29,062,500","$29,062,500"
"Jae Crowder","SF","PHX                  PHX","30","2020","2022","3","$29,162,700","$9,720,900","$18,978,900","$22,432,028"
"Derrick Favors","C","UTA                  UTA","29","2020","2022","3","$29,162,700","$9,720,900","$18,978,900","$29,162,700"
"Isaac Okoro","SG","CLE                  CLE","18","2020","2023","4","$29,083,315","$7,270,829","$13,121,640","$20,162,520"
"Dario Saric","PF","PHX                  PHX","26","2020","2022","3","$27,000,000","$9,000,000","$17,760,000","$20,893,103"
"Onyeka Okongwu","C","ATL                  ATL","19","2020","2023","4","$26,422,143","$6,605,536","$11,917,920","$18,313,080"
"Jakob Poeltl","C","SAS                  SAS","25","2020","2022","3","$26,250,000","$8,750,000","$16,851,852","$20,038,580"
"Taurean Prince","PF","BKN                  BKN","25","2020","2021","2","$25,250,000","$12,625,000","$23,486,772","$23,486,772"
"Mason Plumlee","C","DET                  DET","30","2020","2022","3","$24,662,500","$8,220,833","$16,137,500","$19,028,161"
"Killian Hayes","PG","DET                  DET","19","2020","2023","4","$24,131,515","$6,032,879","$10,879,800","$16,717,560"
"Obi Toppin","PF","NYK                  NYK","22","2020","2023","4","$22,118,492","$5,529,623","$9,967,200","$15,315,480"
"Juancho Hernangomez","PF","MIN                  MIN","25","2020","2022","3","$21,037,320","$7,012,440","$9,250,212","$15,883,092"
"D.J. Augustin","PG","MIL                  MIL","33","2020","2022","3","$21,000,000","$7,000,000","$9,694,064","$17,027,397"
"Rodney Hood","SF","POR                  POR","28","2020","2021","2","$20,898,696","$10,449,348","$14,498,608","$14,498,608"
"Deni Avdija","SF","WAS                  WAS","19","2020","2023","4","$20,341,348","$5,085,337","$9,162,000","$14,078,160"
"Jalen Smith","PF","PHX                  PHX","19","2020","2023","4","$19,328,334","$4,832,084","$5,757,341","$10,427,501"
"Serge Ibaka","C","LAC                  LAC","31","2020","2021","2","$18,978,900","$9,489,450","$13,056,972","$13,056,972"
"Tristan Thompson","C","BOS                  BOS","29","2020","2021","2","$18,978,900","$9,489,450","$12,665,902","$12,665,902"
"Derrick Jones Jr.","SF","POR                  POR","23","2020","2021","2","$18,978,900","$9,489,450","$18,978,900","$18,978,900"
"Montrezl Harrell","C","LAL                  LAL","26","2020","2021","2","$18,978,900","$9,489,450","$12,554,167","$12,554,167"
"Devin Vassell","SG","SAS                  SAS","20","2020","2023","4","$18,593,499","$4,648,375","$8,268,600","$12,705,600"
"Justin Holiday","SG","IND                  IND","31","2020","2022","3","$18,019,260","$6,006,420","$7,826,099","$9,959,742"
