"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Kevin Durant","SF","OKC                  OKC","22","2011","2015","5","$89,163,134","$17,832,627","$29,150,577","$46,983,204"
"Kobe Bryant","SF","LAL                  LAL","32","2011","2013","3","$83,547,447","$27,849,149","$48,167,887","$78,621,692"
"Brandon Roy","SG","POR                  POR","26","2011","2014","4","$68,698,940","$17,174,735","$31,492,682","$49,381,614"
"Zach Randolph","PF","MEM                  MEM","29","2011","2014","4","$66,000,000","$16,500,000","$28,734,146","$46,972,479"
"Nene Hilario","C","DEN                  DEN","28","2011","2015","5","$65,000,000","$13,000,000","$23,463,415","$36,463,415"
"Gilbert Arenas","SG","ORL                  ORL","28","2011","2013","3","$62,423,766","$20,807,922","$40,077,230","$62,423,766"
"Joakim Noah","C","CHI                  CHI","25","2011","2015","5","$60,000,000","$12,000,000","$20,958,537","$32,058,537"
"Al Horford","C","ATL                  ATL","24","2011","2015","5","$60,000,000","$12,000,000","$21,658,537","$33,658,537"
"Marc Gasol","C","MEM                  MEM","25","2011","2014","4","$57,503,764","$14,375,941","$24,292,149","$39,152,672"
"Pau Gasol","C","LAL                  LAL","30","2011","2013","3","$57,000,000","$19,000,000","$34,062,609","$53,348,459"
"Tyson Chandler","C","DAL                  DAL","28","2011","2014","4","$55,409,450","$13,852,363","$24,154,399","$38,504,936"
"Tony Parker","PG","SAS                  SAS","28","2011","2014","4","$50,000,000","$12,500,000","$22,560,976","$35,060,976"
"DeAndre Jordan","C","LAC                  LAC","22","2011","2014","4","$43,039,054","$10,759,764","$18,645,668","$29,632,218"
"Thaddeus Young","PF","PHI                  PHI","22","2011","2014","5","$43,000,000","$8,600,000","$14,308,218","$23,158,218"
"Mike Conley","PG","MEM                  MEM","23","2011","2015","5","$40,000,000","$8,000,000","$12,827,294","$21,427,295"
"Arron Afflalo","SG","DEN                  DEN","25","2011","2014","5","$36,712,500","$7,342,500","$14,073,171","$21,573,171"
"Travis Outlaw","SF","NJN                  NJN","26","2011","2014","5","$35,000,000","$7,000,000","$14,000,000","$21,000,000"
"Wilson Chandler","SF","DEN                  DEN","23","2011","2015","5","$31,720,817","$6,344,163","$10,370,656","$16,714,820"
"Marcus Thornton","SG","SAC                  SAC","23","2011","2014","4","$31,150,000","$7,787,500","$13,159,146","$21,209,146"
"Baron Davis","PG","CLE                  CLE","31","2011","2012","2","$28,650,000","$14,325,000","$28,650,000","$28,650,000"
"Tayshaun Prince","SF","DET                  DET","30","2011","2014","4","$28,000,000","$7,000,000","$11,828,446","$19,064,401"
