"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Marc Gasol","C","MEM                  MEM","29","2015","2019","5","$113,211,750","$22,642,350","$40,854,675","$63,497,025"
"Kevin Love","C","CLE                  CLE","26","2015","2019","5","$113,211,750","$22,642,350","$40,854,675","$63,497,025"
"Kawhi Leonard","SF","SAS                  SAS","23","2015","2019","5","$94,343,126","$18,868,625","$34,045,563","$52,914,188"
"Kyrie Irving","PG","CLE                  CLE","22","2015","2019","5","$94,343,126","$18,868,625","$34,045,563","$52,914,188"
"Jimmy Butler","SF","CHI                  CHI","25","2015","2019","5","$92,339,878","$18,467,976","$36,863,861","$54,410,779"
"DeAndre Jordan","C","LAC                  LAC","26","2015","2018","4","$87,616,050","$21,904,013","$40,854,675","$63,497,025"
"Goran Dragic","PG","MIA                  MIA","28","2015","2019","5","$85,002,250","$17,000,450","$30,674,725","$47,675,175"
"LaMarcus Aldridge","PF","SAS                  SAS","29","2015","2018","4","$84,072,030","$21,018,008","$40,264,005","$61,725,015"
"Tristan Thompson","C","CLE                  CLE","23","2015","2019","5","$82,000,000","$16,400,000","$29,591,305","$45,991,305"
"Draymond Green","PF","GSW                  GSW","24","2015","2019","5","$82,000,000","$16,400,000","$29,591,305","$45,991,305"
"Reggie Jackson","PG","DET                  DET","24","2015","2019","5","$80,000,000","$16,000,000","$28,869,565","$44,869,565"
"Enes Freedom","C","OKC                  OKC","22","2015","2018","4","$70,060,026","$17,515,007","$33,553,338","$54,120,139"
"Wesley Matthews","SG","DAL                  DAL","28","2015","2018","4","$70,060,026","$17,515,007","$33,553,338","$51,437,513"
"Brandon Knight","PG","PHX                  PHX","23","2015","2019","5","$70,000,000","$14,000,000","$26,106,250","$39,725,000"
"Khris Middleton","SF","MIL                  MIL","23","2015","2019","5","$70,000,000","$14,000,000","$29,900,000","$44,000,000"
"Klay Thompson","SG","GSW                  GSW","24","2015","2018","4","$68,979,450","$17,244,863","$32,164,575","$49,990,725"
"Tobias Harris","PF","ORL                  ORL","22","2015","2018","4","$64,000,000","$16,000,000","$22,564,706","$29,073,181"
"Brook Lopez","C","BKN                  BKN","26","2015","2017","3","$63,497,025","$21,165,675","$40,854,675","$63,497,025"
"Paul Millsap","PF","ATL                  ATL","29","2015","2017","3","$60,216,100","$20,072,033","$38,743,692","$60,216,100"
"DeMarre Carroll","SF","TOR                  TOR","28","2015","2018","4","$58,000,000","$14,500,000","$27,800,000","$42,600,000"
"Omer Asik","C","NOP                  NOP","28","2015","2019","5","$57,977,525","$11,595,505","$19,117,977","$23,248,428"
"Ricky Rubio","PG","MIN                  MIN","24","2015","2018","4","$55,000,000","$13,750,000","$26,275,000","$40,550,000"
"Robin Lopez","C","NYK                  NYK","26","2015","2018","4","$54,015,500","$13,503,875","$13,219,250","$27,007,750"
"Thaddeus Young","PF","BKN                  BKN","26","2015","2018","4","$54,000,000","$13,500,000","$25,389,607","$40,185,955"
"Nikola Vucevic","C","ORL                  ORL","24","2015","2018","4","$53,000,000","$13,250,000","$23,000,000","$35,250,000"
"Tyson Chandler","C","PHX                  PHX","32","2015","2018","4","$52,000,000","$13,000,000","$25,415,000","$38,415,000"
"Greg Monroe","C","MIL                  MIL","24","2015","2017","3","$51,437,513","$17,145,838","$33,553,338","$49,416,702"
"Kenneth Faried","PF","DEN                  DEN","25","2015","2018","4","$50,000,000","$12,500,000","$23,314,607","$36,235,955"
"Kemba Walker","PG","CHA                  CHA","24","2015","2018","4","$48,000,000","$12,000,000","$24,000,000","$36,000,000"
"LeBron James","PF","CLE                  CLE","30","2015","2016","2","$46,974,673","$23,487,337","$46,974,673","$46,974,673"
"Wilson Chandler","SF","DEN                  DEN","27","2015","2018","4","$46,500,000","$11,625,000","$21,682,584","$33,699,438"
"Danilo Gallinari","PF","DEN                  DEN","26","2015","2017","3","$45,150,000","$15,050,000","$29,050,000","$45,150,000"
"Monta Ellis","SG","IND                  IND","29","2015","2018","4","$43,981,000","$10,995,250","$21,063,500","$32,290,500"
"Tony Parker","PG","SAS                  SAS","32","2015","2017","3","$43,335,939","$14,445,313","$27,882,813","$43,335,939"
"Alec Burks","SG","UTA                  UTA","23","2015","2018","4","$42,000,000","$10,500,000","$19,617,979","$30,463,485"
"Danny Green","SF","SAS                  SAS","27","2015","2018","4","$40,000,000","$10,000,000","$20,000,000","$30,000,000"
"Iman Shumpert","SG","CLE                  CLE","24","2015","2018","4","$40,000,000","$10,000,000","$18,651,685","$22,330,984"
"Rudy Gay","PF","SAC                  SAC","28","2015","2017","3","$40,000,000","$13,333,333","$25,736,434","$40,000,000"
"Jae Crowder","SF","BOS                  BOS","24","2015","2019","5","$35,000,000","$7,000,000","$13,082,525","$15,501,482"
"Kosta Koufos","C","SAC                  SAC","25","2015","2018","4","$32,879,000","$8,219,750","$15,746,500","$24,139,500"
"Markieff Morris","PF","PHX                  PHX","25","2015","2018","4","$32,000,000","$8,000,000","$9,988,235","$17,988,235"
"Al-Farouq Aminu","PF","POR                  POR","24","2015","2018","4","$30,000,000","$7,500,000","$15,723,860","$23,042,895"
"Anderson Varejao","PF","CLE                  CLE","32","2015","2017","3","$30,000,000","$10,000,000","$13,479,802","$23,479,802"
"Cory Joseph","PG","TOR                  TOR","23","2015","2018","4","$29,890,000","$7,472,500","$14,315,000","$21,945,000"
"Karl-Anthony Towns","C","MIN                  MIN","19","2015","2018","4","$25,720,035","$6,430,009","$11,663,760","$17,880,600"
"Amir Johnson","C","BOS                  BOS","27","2015","2016","2","$24,000,000","$12,000,000","$24,000,000","$24,000,000"
"Corey Brewer","SG","HOU                  HOU","28","2015","2017","3","$23,420,913","$7,806,971","$10,468,249","$18,047,615"
"Patrick Beverley","PG","HOU                  HOU","26","2015","2018","4","$23,027,026","$5,756,757","$12,486,486","$17,999,999"
"D'Angelo Russell","PG","LAL                  LAL","18","2015","2018","4","$23,017,978","$5,754,495","$10,435,920","$15,998,280"
"Rodney Stuckey","PG","IND                  IND","28","2015","2017","3","$21,000,000","$7,000,000","$14,000,000","$21,000,000"
"Louis Williams","SG","LAL                  LAL","28","2015","2017","3","$21,000,000","$7,000,000","$9,058,824","$16,058,824"
"Alexis Ajinca","C","NOP                  NOP","26","2015","2018","4","$20,200,000","$5,050,000","$9,102,810","$14,064,608"
"Dwyane Wade","SG","MIA                  MIA","32","2015","2015","1","$20,000,000","$20,000,000","$20,000,000","$20,000,000"
"Ed Davis","C","POR                  POR","25","2015","2017","3","$20,000,000","$6,666,667","$13,647,469","$20,000,000"
"Marcus Morris Sr.","SF","PHX                  PHX","25","2015","2018","4","$20,000,000","$5,000,000","$9,625,000","$14,625,000"
"Zach Randolph","PF","MEM                  MEM","33","2015","2016","2","$20,000,000","$10,000,000","$20,000,000","$20,000,000"
"Aron Baynes","C","DET                  DET","28","2015","2017","3","$19,500,000","$6,500,000","$13,000,000","$19,500,000"
"Marco Belinelli","SG","SAC                  SAC","28","2015","2017","3","$19,000,000","$6,333,333","$12,393,939","$19,000,000"
"Kyle Singler","SF","OKC                  OKC","26","2015","2018","4","$19,000,000","$4,750,000","$9,337,500","$14,004,000"
"Kristaps Porzingis","PF","NYK                  NYK","19","2015","2018","4","$18,650,094","$4,662,524","$8,449,440","$12,953,040"
"Brandan Wright","PF","MEM                  MEM","27","2015","2017","3","$17,129,640","$5,709,880","$11,173,880","$17,129,640"
"Kevin Garnett","PF","MIN                  MIN","38","2015","2016","2","$16,500,000","$8,250,000","$16,500,000","$16,500,000"
"Kyle O'Quinn","C","ORL                  ORL","24","2015","2018","4","$16,012,500","$4,003,125","$7,668,750","$11,756,250"
"Jose Barea","PG","DAL                  DAL","30","2015","2018","4","$16,001,700","$4,000,425","$8,386,950","$12,290,850"
"Arron Afflalo","SG","POR                  POR","29","2015","2016","2","$16,000,000","$8,000,000","$16,000,000","$16,000,000"
"Willie Cauley-Stein","C","SAC                  SAC","21","2015","2018","4","$15,350,475","$3,837,619","$6,949,440","$10,653,600"
"C.J. Watson","PG","ORL                  ORL","30","2015","2017","3","$15,000,000","$5,000,000","$10,000,000","$15,000,000"
"Mike Dunleavy","SF","CHI                  CHI","34","2015","2017","3","$14,512,500","$4,837,500","$7,203,309","$12,378,309"
