"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Chris Paul","PG","LAC                  LAC","27","2013","2017","5","$107,343,477","$21,468,695","$38,736,994","$60,205,690"
"Blake Griffin","C","LAC                  LAC","23","2013","2017","5","$94,538,626","$18,907,725","$34,116,113","$53,023,838"
"Dwight Howard","C","HOU                  HOU","27","2013","2016","4","$87,591,270","$21,897,818","$41,949,449","$64,308,813"
"James Harden","SG","HOU                  HOU","23","2013","2017","5","$78,782,188","$15,756,438","$28,430,094","$44,186,532"
"Nikola Pekovic","C","MIN                  MIN","26","2013","2017","5","$60,000,000","$12,000,000","$24,200,000","$36,300,000"
"Josh Smith","SF","DET                  DET","27","2013","2016","4","$54,000,000","$13,500,000","$27,000,000","$40,500,000"
"Serge Ibaka","C","OKC                  OKC","23","2013","2016","4","$49,400,000","$12,350,000","$24,700,000","$36,950,000"
"Andre Iguodala","SF","DEN                  DEN","28","2013","2016","4","$48,000,000","$12,000,000","$25,158,176","$36,868,632"
"Ty Lawson","PG","DEN                  DEN","25","2013","2016","4","$48,000,000","$12,000,000","$22,382,023","$34,786,518"
"Tyreke Evans","SG","SAC                  SAC","23","2013","2016","4","$44,000,004","$11,000,001","$23,061,663","$33,796,249"
"Stephen Curry","PG","GSW                  GSW","24","2013","2016","4","$44,000,000","$11,000,000","$20,516,855","$31,887,641"
"Jrue Holiday","PG","PHI                  PHI","22","2013","2016","4","$41,000,004","$10,250,001","$19,617,979","$30,213,486"
"Al Jefferson","C","CHA                  CHA","27","2013","2015","3","$40,500,000","$13,500,000","$27,000,000","$40,500,000"
"DeMar DeRozan","SF","TOR                  TOR","23","2013","2016","4","$38,000,000","$9,500,000","$19,600,000","$29,750,000"
"David West","PF","IND                  IND","32","2013","2015","3","$36,600,000","$12,200,000","$24,000,000","$36,600,000"
"Tiago Splitter","PF","SAS                  SAS","27","2013","2016","4","$36,000,000","$9,000,000","$19,250,000","$27,750,000"
