"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Giannis Antetokounmpo","PF","MIL                  MIL","26","2021","2025","5","$228,200,420","$45,640,084","$81,837,392","$127,477,476"
"Rudy Gobert","C","UTA                  UTA","28","2021","2025","5","$205,000,002","$41,000,000","$73,517,242","$114,517,242"
"Paul George","SG","LAC                  LAC","30","2021","2024","4","$176,265,466","$44,066,367","$81,837,392","$127,477,476"
"Kawhi Leonard","SF","LAC                  LAC","30","2021","2024","4","$176,265,152","$44,066,288","$81,837,392","$127,477,476"
"Damian Lillard","PG","POR                  POR","30","2021","2024","4","$176,265,152","$44,066,288","$81,837,392","$127,477,476"
"Bam Adebayo","C","MIA                  MIA","23","2021","2025","5","$163,000,300","$32,600,060","$58,455,280","$91,055,340"
"Jayson Tatum","PF","BOS                  BOS","22","2021","2025","5","$163,000,300","$32,600,060","$58,455,280","$91,055,340"
"Donovan Mitchell","SG","UTA                  UTA","24","2021","2025","5","$163,000,300","$32,600,060","$58,455,280","$91,055,340"
"De'Aaron Fox","PG","SAC                  SAC","22","2021","2025","5","$163,000,300","$32,600,060","$58,455,280","$91,055,340"
"Jrue Holiday","PG","MIL                  MIL","30","2021","2024","4","$134,997,333","$33,749,333","$65,490,813","$103,111,160"
"John Collins","PF","ATL                  ATL","23","2021","2025","5","$125,000,000","$25,000,000","$46,500,000","$71,840,000"
"Chris Paul","PG","PHX                  PHX","36","2021","2024","4","$120,000,000","$30,000,000","$59,200,000","$90,000,000"
"Jarrett Allen","C","CLE                  CLE","23","2021","2025","5","$100,000,000","$20,000,000","$40,000,000","$60,000,000"
"C.J. McCollum","SG","POR                  POR","29","2021","2023","3","$100,000,000","$33,333,333","$44,153,540","$79,956,009"
"Norman Powell","SG","POR                  POR","28","2021","2025","5","$90,000,000","$18,000,000","$22,555,292","$40,555,292"
"Duncan Robinson","SF","MIA                  MIA","27","2021","2025","5","$90,000,000","$18,000,000","$32,552,000","$50,706,000"
"LeBron James","PF","LAL                  LAL","35","2021","2022","2","$85,655,532","$42,827,766","$85,655,532","$85,655,532"
"Kyle Lowry","PG","TOR                  TOR","35","2021","2023","3","$85,000,002","$28,333,334","$55,317,462","$69,476,375"
