"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Bradley Beal","SG","WAS                  WAS","29","2022","2026","5","$251,019,650","$50,203,930","$90,020,840","$140,224,770"
"Stephen Curry","PG","GSW                  GSW","33","2022","2025","4","$215,353,664","$53,838,416","$99,985,629","$155,746,845"
"Zach LaVine","SG","CHI                  CHI","27","2022","2026","5","$215,159,700","$43,031,940","$77,160,720","$94,472,420"
"Luka Doncic","PG","DAL                  DAL","22","2022","2026","5","$215,159,700","$43,031,940","$77,160,720","$94,719,730"
"Trae Young","PG","ATL                  ATL","22","2022","2026","5","$215,159,700","$43,031,940","$77,160,720","$120,192,660"
"Kevin Durant","SF","BKN                  BKN","32","2022","2025","4","$194,219,320","$48,554,830","$63,374,668","$113,230,689"
"Michael Porter Jr.","SF","DEN                  DEN","23","2022","2026","5","$179,299,750","$35,859,950","$64,300,600","$100,160,550"
"Shai Gilgeous-Alexander","PG","OKC                  OKC","23","2022","2026","5","$179,299,750","$35,859,950","$64,300,600","$100,160,550"
"Deandre Ayton","C","PHX                  PHX","23","2022","2025","4","$132,929,128","$33,232,282","$63,373,188","$97,378,314"
"Julius Randle","PF","NYK                  NYK","26","2022","2025","4","$117,089,280","$29,272,320","$53,079,840","$80,641,440"
"Jaren Jackson Jr.","PF","MEM                  MEM","22","2022","2025","4","$104,720,000","$26,180,000","$56,048,807","$81,306,605"
"Jalen Brunson","PG","NYK                  NYK","25","2022","2025","4","$104,000,000","$26,000,000","$54,079,998","$79,039,999"
"Anfernee Simons","SG","POR                  POR","23","2022","2025","4","$100,000,000","$25,000,000","$46,428,572","$72,321,429"
"Terry Rozier","PG","CHA                  CHA","27","2022","2025","4","$96,258,694","$24,064,674","$32,555,473","$57,479,599"
"Mikal Bridges","SF","PHX                  PHX","25","2022","2025","4","$90,900,000","$22,725,000","$28,820,690","$52,120,690"
"Aaron Gordon","PF","DEN                  DEN","26","2022","2025","4","$86,640,001","$21,660,000","$41,957,091","$64,798,546"
"Luguentz Dort","SG","OKC                  OKC","23","2022","2026","5","$82,500,000","$16,500,000","$30,555,556","$47,555,556"
"Marcus Smart","PG","BOS                  BOS","27","2022","2025","4","$76,487,996","$19,121,999","$35,790,855","$43,361,998"
"Collin Sexton","PG","CLE                  CLE","23","2022","2025","4","$70,950,000","$17,737,500","$34,025,000","$52,175,000"
"Jusuf Nurkic","C","POR                  POR","27","2022","2025","4","$70,000,000","$17,500,000","$32,500,000","$39,375,000"
"James Harden","SG","PHI                  PHI","32","2022","2023","2","$68,640,000","$34,320,000","$68,640,000","$68,640,000"
"Kevin Huerter","SG","ATL                  ATL","23","2022","2025","4","$65,000,000","$16,250,000","$30,178,572","$36,949,405"
"Mitchell Robinson","C","NYK                  NYK","24","2022","2025","4","$60,000,000","$15,000,000","$32,727,272","$47,045,454"
"Dorian Finney-Smith","PF","DAL                  DAL","28","2022","2025","4","$55,560,960","$13,890,240","$17,813,263","$26,494,663"
"Paolo Banchero","PF","ORL                  ORL","19","2022","2025","4","$50,158,769","$12,539,692","$22,663,200","$34,824,000"
"Wendell Carter Jr.","C","ORL                  ORL","22","2022","2025","4","$50,000,000","$12,500,000","$27,200,000","$39,150,000"
"Bobby Portis","PF","MIL                  MIL","27","2022","2025","4","$48,578,208","$12,144,552","$22,554,168","$35,132,454"
